id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-360375";"2022-04-21";"1";"Vente";"260000.0";"26.0";"None";"RUE DELILLE";"0582";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AB0065";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"129.0";"4.0";"S";"sols";"None";"None";"351.0";"1.071855";"49.401886";"000AB"
"2022-360375";"2022-04-21";"1";"Vente";"260000.0";"26.0";"None";"RUE DELILLE";"0582";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AB0065";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"351.0";"1.071855";"49.401886";"000AB"
"2021-1180016";"2021-05-10";"1";"Vente";"160000.0";"13.0";"None";"RUE ALFRED DE MUSSET";"0040";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AB0023";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"64.0";"4.0";"S";"sols";"None";"None";"452.0";"1.070963";"49.402764";"000AB"
"2021-1177880";"2021-01-14";"1";"Vente";"174000.0";"21.0";"None";"RUE PAUL VERLAINE";"1920";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AB0012";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"64.0";"4.0";"S";"sols";"None";"None";"498.0";"1.070475";"49.403622";"000AB"
"2021-1177880";"2021-01-14";"1";"Vente";"174000.0";"21.0";"None";"RUE PAUL VERLAINE";"1920";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AB0012";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"498.0";"1.070475";"49.403622";"000AB"
"2020-1061542";"2020-03-10";"1";"Vente";"200000.0";"2.0";"None";"RUE DU MADRILLET";"1580";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AB0090";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"18.0";"1.0";"S";"sols";"None";"None";"105.0";"1.074902";"49.403036";"000AB"
"2020-1061542";"2020-03-10";"1";"Vente";"200000.0";"2.0";"None";"RUE DU MADRILLET";"1580";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AB0090";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"68.0";"0.0";"S";"sols";"None";"None";"105.0";"1.074902";"49.403036";"000AB"
"2019-1116084";"2019-08-28";"1";"Vente";"180000.0";"28.0";"None";"RUE DELILLE";"0582";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AB0066";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"108.0";"5.0";"S";"sols";"None";"None";"348.0";"1.071647";"49.401956";"000AB"
"2019-1114082";"2019-06-14";"1";"Vente";"188000.0";"38.0";"None";"RUE DELILLE";"0582";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AB0071";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"74.0";"5.0";"S";"sols";"None";"None";"377.0";"1.070502";"49.402256";"000AB"
"2019-1112279";"2019-02-06";"1";"Vente";"20000.0";"nan";"None";"ALL DU CHAMP DE COURSE";"0432";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AB0232";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"3182.0";"1.070577";"49.404334";"000AB"
