id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-360822";"2022-06-01";"1";"Vente";"140000.0";"61.0";"None";"RUE JEAN PERRIN";"1330";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AC0350";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"1";"Maison";"70.0";"4.0";"S";"sols";"None";"None";"146.0";"1.079165";"49.401264";"000AC"
"2022-360779";"2022-05-25";"1";"Vente";"160000.0";"24.0";"B";"RUE DE BUFFON";"0350";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AC0103";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"1";"Maison";"90.0";"4.0";"S";"sols";"None";"None";"319.0";"1.078233";"49.404601";"000AC"
"2022-360061";"2022-03-18";"1";"Vente";"81000.0";"6.0";"None";"RUE JEAN PERRIN";"1330";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AC0638";"None";"None";"68";"nan";"84";"nan";"92";"nan";"None";"None";"None";"None";"3";"2";"Appartement";"86.0";"4.0";"None";"None";"None";"None";"nan";"1.077678";"49.400639";"000AC"
"2022-360061";"2022-03-18";"1";"Vente";"81000.0";"6.0";"None";"RUE JEAN PERRIN";"1330";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AC0638";"None";"None";"68";"nan";"84";"nan";"92";"nan";"None";"None";"None";"None";"3";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"1.077678";"49.400639";"000AC"
"2021-1184782";"2021-11-30";"1";"Vente";"204050.0";"29.0";"None";"RUE MOLIERE";"1720";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AC0174";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"1";"Maison";"72.0";"4.0";"S";"sols";"None";"None";"413.0";"1.077859";"49.403703";"000AC"
"2021-1184028";"2021-10-27";"1";"Vente";"130000.0";"38.0";"None";"RUE RACINE";"2140";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AC0252";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"1";"Maison";"57.0";"3.0";"S";"sols";"None";"None";"273.0";"1.078387";"49.402549";"000AC"
"2021-1184028";"2021-10-27";"1";"Vente";"130000.0";"38.0";"None";"RUE RACINE";"2140";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AC0252";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"273.0";"1.078387";"49.402549";"000AC"
"2021-1183901";"2021-10-22";"1";"Vente";"66000.0";"8.0";"None";"RUE RASPAIL";"2150";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AC0152";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"1";"Maison";"37.0";"2.0";"S";"sols";"None";"None";"183.0";"1.076965";"49.404153";"000AC"
"2021-1183901";"2021-10-22";"1";"Vente";"66000.0";"8.0";"None";"RUE RASPAIL";"2150";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AC0152";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"183.0";"1.076965";"49.404153";"000AC"
"2021-1183901";"2021-10-22";"1";"Vente";"66000.0";"8.0";"None";"RUE RASPAIL";"2150";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AC0152";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"183.0";"1.076965";"49.404153";"000AC"
