id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-360798";"2022-05-30";"1";"Vente";"228500.0";"22.0";"None";"RUE HUBERT LATHAM";"1200";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AD0470";"None";"None";"None";"nan";"None";"None";"None";"nan";"None";"None";"None";"None";"0";"1";"Maison";"98.0";"5.0";"S";"sols";"None";"None";"374.0";"1.075916";"49.396036";"000AD"
"2022-360798";"2022-05-30";"1";"Vente";"228500.0";"22.0";"None";"RUE HUBERT LATHAM";"1200";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AD0470";"None";"None";"None";"nan";"None";"None";"None";"nan";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"374.0";"1.075916";"49.396036";"000AD"
"2022-360798";"2022-05-30";"1";"Vente";"228500.0";"22.0";"None";"RUE HUBERT LATHAM";"1200";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AD0470";"None";"None";"None";"nan";"None";"None";"None";"nan";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"374.0";"1.075916";"49.396036";"000AD"
"2022-360798";"2022-05-30";"1";"Vente";"228500.0";"22.0";"None";"RUE HUBERT LATHAM";"1200";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AD0470";"None";"None";"None";"nan";"None";"None";"None";"nan";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"374.0";"1.075916";"49.396036";"000AD"
"2022-360798";"2022-05-30";"1";"Vente";"228500.0";"22.0";"None";"RUE HUBERT LATHAM";"1200";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AD0470";"None";"None";"None";"nan";"None";"None";"None";"nan";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"374.0";"1.075916";"49.396036";"000AD"
"2022-360809";"2022-05-25";"1";"Vente";"253500.0";"25.0";"None";"RUE JOSEPH LE BRIX";"1360";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AD0429";"None";"None";"None";"nan";"None";"None";"None";"nan";"None";"None";"None";"None";"0";"1";"Maison";"100.0";"7.0";"S";"sols";"None";"None";"558.0";"1.076475";"49.395221";"000AD"
"2022-359710";"2022-03-28";"1";"Vente";"200000.0";"64.0";"None";"AV ANTOINE DE ST EXUPERY";"0150";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AD0209";"None";"None";"None";"nan";"None";"None";"None";"nan";"None";"None";"None";"None";"0";"1";"Maison";"80.0";"5.0";"S";"sols";"None";"None";"330.0";"1.079458";"49.392579";"000AD"
"2022-359710";"2022-03-28";"1";"Vente";"200000.0";"64.0";"None";"AV ANTOINE DE ST EXUPERY";"0150";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AD0209";"None";"None";"None";"nan";"None";"None";"None";"nan";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"330.0";"1.079458";"49.392579";"000AD"
"2022-359477";"2022-02-22";"1";"Vente en l'état futur d'achèvement";"260000.0";"23.0";"B";"RUE NUNGESSER ET COLI";"1790";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AD0787";"None";"None";"None";"nan";"None";"None";"None";"nan";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"331.0";"1.079638";"49.39678";"000AD"
"2022-359477";"2022-02-22";"1";"Vente en l'état futur d'achèvement";"260000.0";"23.0";"B";"RUE NUNGESSER ET COLI";"1790";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AD0786";"None";"None";"None";"nan";"None";"None";"None";"nan";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"300.0";"1.080078";"49.396739";"000AD"
"2022-359477";"2022-02-22";"1";"Vente en l'état futur d'achèvement";"260000.0";"nan";"None";"RUE NUNGESSER ET COLI";"1790";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AD0784";"None";"None";"None";"nan";"None";"None";"None";"nan";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"202.0";"1.079794";"49.396715";"000AD"
"2021-1184128";"2021-10-23";"1";"Vente";"188000.0";"56.0";"None";"RUE DES MARRONNIERS";"1635";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AD0207";"None";"None";"None";"nan";"None";"None";"None";"nan";"None";"None";"None";"None";"0";"1";"Maison";"80.0";"5.0";"S";"sols";"None";"None";"298.0";"1.079151";"49.392691";"000AD"
"2021-1184128";"2021-10-23";"1";"Vente";"188000.0";"56.0";"None";"RUE DES MARRONNIERS";"1635";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AD0207";"None";"None";"None";"nan";"None";"None";"None";"nan";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"298.0";"1.079151";"49.392691";"000AD"
"2021-1184128";"2021-10-23";"1";"Vente";"188000.0";"56.0";"None";"RUE DES MARRONNIERS";"1635";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AD0207";"None";"None";"None";"nan";"None";"None";"None";"nan";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"298.0";"1.079151";"49.392691";"000AD"
