id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-360128";"2022-04-07";"1";"Vente";"190000.0";"9.0";"B";"RUE FERNAND LEGER";"0845";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AK0533";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"1985.0";"1.100623";"49.398062";"000AK"
"2022-359771";"2022-03-28";"1";"Vente";"134500.0";"2.0";"B";"RUE LUCIEN BONNAFE";"1556";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AK0511";"None";"None";"207";"78.55";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"78.0";"4.0";"None";"None";"None";"None";"nan";"1.101104";"49.395787";"000AK"
"2022-359771";"2022-03-28";"1";"Vente";"134500.0";"2.0";"B";"RUE LUCIEN BONNAFE";"1556";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AK0511";"None";"None";"527";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"1.101104";"49.395787";"000AK"
"2021-1185250";"2021-12-16";"1";"Vente en l'état futur d'achèvement";"216700.0";"87.0";"None";"RUE DE PARIS";"1840";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AK0552";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"175.0";"1.104031";"49.392544";"000AK"
"2021-1184612";"2021-11-02";"1";"Vente";"228200.0";"2.0";"None";"RUE HENRI GIFFARD";"1175";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AK0397";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"89.0";"4.0";"S";"sols";"None";"None";"406.0";"1.10399";"49.394038";"000AK"
"2021-1184280";"2021-10-20";"1";"Vente";"182000.0";"16.0";"None";"RUE CLAUDE KOGAN";"0490";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AK0018";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"90.0";"5.0";"S";"sols";"None";"None";"399.0";"1.099799";"49.392206";"000AK"
"2021-1184280";"2021-10-20";"1";"Vente";"182000.0";"16.0";"None";"RUE CLAUDE KOGAN";"0490";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AK0018";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"399.0";"1.099799";"49.392206";"000AK"
"2021-1184280";"2021-10-20";"1";"Vente";"182000.0";"16.0";"None";"RUE CLAUDE KOGAN";"0490";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AK0018";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"399.0";"1.099799";"49.392206";"000AK"
"2021-1183168";"2021-09-15";"1";"Vente";"182400.0";"3.0";"None";"RUE DES PRIMEVERES";"2120";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AK0001";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"104.0";"4.0";"S";"sols";"None";"None";"330.0";"1.099296";"49.391668";"000AK"
"2021-1183168";"2021-09-15";"1";"Vente";"182400.0";"3.0";"None";"RUE DES PRIMEVERES";"2120";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AK0001";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"330.0";"1.099296";"49.391668";"000AK"
"2021-1183168";"2021-09-15";"1";"Vente";"182400.0";"3.0";"None";"RUE DES PRIMEVERES";"2120";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AK0001";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"330.0";"1.099296";"49.391668";"000AK"
