id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-360076";"2022-03-31";"1";"Vente";"829628.0";"9030.0";"None";"RUE DU PRE AUX BOEUFS";"2113";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AL0089";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"1200.0";"0.0";"T";"terres";"None";"None";"4000.0";"1.117421";"49.39399";"000AL"
"2022-360084";"2022-03-31";"1";"Vente";"2060729.0";"9065.0";"None";"RUE DE LA GRANDE EPINE";"1061";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AL0083";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"750.0";"0.0";"T";"terres";"None";"None";"4000.0";"1.114288";"49.393177";"000AL"
"2022-360084";"2022-03-31";"1";"Vente";"2060729.0";"9065.0";"None";"RUE DE LA GRANDE EPINE";"1061";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AL0083";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"750.0";"0.0";"S";"sols";"None";"None";"2484.0";"1.114288";"49.393177";"000AL"
"2022-360084";"2022-03-31";"1";"Vente";"2060729.0";"9065.0";"None";"RUE DE LA GRANDE EPINE";"1061";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AL0083";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"750.0";"0.0";"S";"sols";"None";"None";"2484.0";"1.114288";"49.393177";"000AL"
"2022-360084";"2022-03-31";"1";"Vente";"2060729.0";"9065.0";"None";"RUE DE LA GRANDE EPINE";"1061";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AL0083";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"1500.0";"0.0";"T";"terres";"None";"None";"4000.0";"1.114288";"49.393177";"000AL"
"2022-360084";"2022-03-31";"1";"Vente";"2060729.0";"9065.0";"None";"RUE DE LA GRANDE EPINE";"1061";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AL0083";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"1500.0";"0.0";"S";"sols";"None";"None";"2484.0";"1.114288";"49.393177";"000AL"
"2022-360084";"2022-03-31";"1";"Vente";"2060729.0";"9065.0";"None";"RUE DE LA GRANDE EPINE";"1061";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AL0083";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"750.0";"0.0";"T";"terres";"None";"None";"4000.0";"1.114288";"49.393177";"000AL"
"2021-1179920";"2021-04-28";"1";"Vente";"920000.0";"9055.0";"None";"RUE DU PRE AUX BOEUFS";"2113";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AL0266";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"699.0";"0.0";"S";"sols";"None";"None";"1590.0";"1.11472";"49.393231";"000AL"
"2021-1178976";"2021-03-04";"1";"Vente";"36855776.0";"nan";"None";"LE LONG BOEL";"B013";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AL0131";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"2485.0";"1.116254";"49.397498";"000AL"
"2021-1178976";"2021-03-04";"1";"Vente";"36855776.0";"nan";"None";"LE LONG BOEL";"B013";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AL0241";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"13009.0";"1.117044";"49.395115";"000AL"
