id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-1185263";"2021-12-17";"1";"Vente en l'état futur d'achèvement";"4171200.0";"nan";"None";"BD LENINE";"1455";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0388";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"12500.0";"1.113902";"49.38316";"000AM"
"2021-1179174";"2021-03-11";"1";"Vente";"340706.72";"9025.0";"None";"RUE MICHEL POULMARCH";"1700";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0306";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"763.0";"0.0";"S";"sols";"None";"None";"3331.0";"1.116723";"49.379413";"000AM"
"2021-1179174";"2021-03-11";"1";"Vente";"340706.72";"9025.0";"None";"RUE MICHEL POULMARCH";"1700";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0306";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"6296.0";"0.0";"S";"sols";"None";"None";"3331.0";"1.116723";"49.379413";"000AM"
"2021-1179174";"2021-03-11";"1";"Vente";"340706.72";"9025.0";"B";"RUE MICHEL POULMARCH";"1700";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0312";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"4000.0";"0.0";"S";"sols";"None";"None";"4546.0";"1.116994";"49.380482";"000AM"
"2021-1179174";"2021-03-11";"1";"Vente";"340706.72";"9025.0";"B";"RUE MICHEL POULMARCH";"1700";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0312";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"585.0";"0.0";"S";"sols";"None";"None";"4546.0";"1.116994";"49.380482";"000AM"
"2021-1179192";"2021-03-11";"1";"Vente";"1950000.0";"9025.0";"None";"RUE MICHEL POULMARCH";"1700";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0306";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"763.0";"0.0";"S";"sols";"None";"None";"3331.0";"1.116723";"49.379413";"000AM"
"2021-1179192";"2021-03-11";"1";"Vente";"1950000.0";"9025.0";"None";"RUE MICHEL POULMARCH";"1700";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0306";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"6296.0";"0.0";"S";"sols";"None";"None";"3331.0";"1.116723";"49.379413";"000AM"
"2021-1179192";"2021-03-11";"1";"Vente";"1950000.0";"9025.0";"B";"RUE MICHEL POULMARCH";"1700";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0312";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"4000.0";"0.0";"S";"sols";"None";"None";"4546.0";"1.116994";"49.380482";"000AM"
"2021-1179192";"2021-03-11";"1";"Vente";"1950000.0";"9025.0";"B";"RUE MICHEL POULMARCH";"1700";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0312";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"585.0";"0.0";"S";"sols";"None";"None";"4546.0";"1.116994";"49.380482";"000AM"
"2021-1179174";"2021-03-11";"1";"Vente";"340706.72";"9025.0";"None";"RUE MICHEL POULMARCH";"1700";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0307";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"4508.0";"1.116652";"49.379907";"000AM"
"2021-1179174";"2021-03-11";"1";"Vente";"340706.72";"nan";"None";"CHE DU HALAGE";"1105";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0309";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"258.0";"1.117485";"49.379435";"000AM"
"2021-1179174";"2021-03-11";"1";"Vente";"340706.72";"nan";"None";"CHE DU HALAGE";"1105";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0310";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"418.0";"1.117401";"49.379881";"000AM"
"2021-1179192";"2021-03-11";"1";"Vente";"1950000.0";"9025.0";"None";"RUE MICHEL POULMARCH";"1700";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0307";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"4508.0";"1.116652";"49.379907";"000AM"
"2021-1179192";"2021-03-11";"1";"Vente";"1950000.0";"nan";"None";"CHE DU HALAGE";"1105";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0309";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"258.0";"1.117485";"49.379435";"000AM"
"2021-1179192";"2021-03-11";"1";"Vente";"1950000.0";"nan";"None";"CHE DU HALAGE";"1105";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0310";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"418.0";"1.117401";"49.379881";"000AM"
"2020-1066472";"2020-12-01";"2";"Vente";"237520.0";"nan";"None";"TROU SAINT ANTOINE";"B022";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0389";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"2969.0";"1.116836";"49.375832";"000AM"
"2020-1063106";"2020-07-06";"1";"Vente";"903900.0";"nan";"None";"BD LENINE";"1455";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0388";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"12500.0";"1.113902";"49.38316";"000AM"
"2020-1063106";"2020-07-06";"2";"Vente";"903900.0";"nan";"None";"BD LENINE";"1455";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0387";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"12468.0";"1.1136";"49.383856";"000AM"
"2020-1063106";"2020-07-06";"2";"Vente";"903900.0";"nan";"None";"BD LENINE";"1455";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0386";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"32.0";"1.112666";"49.383855";"000AM"
"2020-1061348";"2020-04-06";"1";"Vente";"354000.0";"nan";"None";"BD LENINE";"1455";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0255";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"7237.0";"1.110893";"49.382506";"000AM"
"2020-1059927";"2020-01-15";"1";"Vente";"800000.0";"nan";"None";"RUE DU CLOS TELLIER";"0516";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0290";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"8470.0";"0.0";"S";"sols";"None";"None";"3620.0";"1.112691";"49.378425";"000AM"
"2020-1059927";"2020-01-15";"1";"Vente";"800000.0";"nan";"None";"LES EPINETTES";"B009";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0294";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"3407.0";"1.112324";"49.378898";"000AM"
"2019-1115287";"2019-07-11";"1";"Vente";"1.15";"9030.0";"None";"RUE DU LONG  BOEL";"1501";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0238";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"6788.0";"0.0";"S";"sols";"None";"None";"13266.0";"1.111227";"49.385467";"000AM"
"2019-1115287";"2019-07-11";"1";"Vente";"1.15";"9030.0";"None";"RUE DU LONG  BOEL";"1501";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0238";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"1193.0";"0.0";"S";"sols";"None";"None";"13266.0";"1.111227";"49.385467";"000AM"
"2019-1115287";"2019-07-11";"1";"Vente";"1.15";"9040.0";"None";"RUE DU LONG  BOEL";"1501";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0239";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"720.0";"0.0";"S";"sols";"None";"None";"38722.0";"1.110764";"49.384442";"000AM"
"2019-1115287";"2019-07-11";"1";"Vente";"1.15";"9040.0";"None";"RUE DU LONG  BOEL";"1501";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0239";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"4977.0";"0.0";"S";"sols";"None";"None";"38722.0";"1.110764";"49.384442";"000AM"
"2019-1115287";"2019-07-11";"1";"Vente";"1.15";"nan";"None";"BD LENINE";"1455";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0240";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"12.0";"1.109801";"49.383736";"000AM"
"2018-1035699";"2018-10-18";"1";"Vente";"4665039.0";"9025.0";"None";"RUE DU LONG  BOEL";"1501";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0198";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"9826.0";"0.0";"S";"sols";"None";"None";"24353.0";"1.113681";"49.385111";"000AM"
"2018-1034830";"2018-09-17";"1";"Vente";"0.15";"5001.0";"None";"BD LENINE";"1455";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AM0297";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"1961.0";"0.0";"S";"sols";"None";"None";"5832.0";"1.110202";"49.382769";"000AM"
