id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-1182172";"2021-07-22";"1";"Vente";"167230.0";"11.0";"None";"PREMIERE AVENUE";"2115";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AO0041";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"60.0";"3.0";"S";"sols";"None";"None";"259.0";"1.106468";"49.365605";"000AO"
"2021-1182172";"2021-07-22";"1";"Vente";"167230.0";"11.0";"None";"PREMIERE AVENUE";"2115";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AO0041";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"259.0";"1.106468";"49.365605";"000AO"
"2021-1182172";"2021-07-22";"1";"Vente";"167230.0";"11.0";"None";"PREMIERE AVENUE";"2115";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AO0041";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"259.0";"1.106468";"49.365605";"000AO"
"2021-1181645";"2021-07-21";"1";"Vente";"144800.0";"21.0";"None";"PREMIERE AVENUE";"2115";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AO0046";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"83.0";"4.0";"S";"sols";"None";"None";"258.0";"1.107262";"49.365603";"000AO"
"2021-1179011";"2021-03-18";"1";"Vente";"280000.0";"9030.0";"None";"RUE PIERRE DE COUBERTIN";"2025";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AO0220";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"324.0";"0.0";"S";"sols";"None";"None";"2446.0";"1.103721";"49.36556";"000AO"
"2021-1178715";"2021-02-26";"1";"Vente";"200000.0";"63.0";"B";"RUE DOCTEUR COTONI";"0610";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AO0260";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"103.0";"5.0";"S";"sols";"None";"None";"196.0";"1.107298";"49.368587";"000AO"
"2021-1178715";"2021-02-26";"1";"Vente";"200000.0";"nan";"None";"RUE DOCTEUR COTONI";"0610";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AO0258";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"48.0";"1.107088";"49.368589";"000AO"
"2020-1066819";"2020-12-16";"1";"Vente";"280000.0";"9030.0";"None";"RUE PIERRE DE COUBERTIN";"2025";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AO0220";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"324.0";"0.0";"S";"sols";"None";"None";"2446.0";"1.103721";"49.36556";"000AO"
"2020-1064611";"2020-09-22";"1";"Vente";"116000.0";"43.0";"None";"DEUXIEME AVENUE";"0593";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AO0068";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"61.0";"3.0";"S";"sols";"None";"None";"209.0";"1.107157";"49.365037";"000AO"
"2020-1064081";"2020-09-10";"1";"Vente";"200000.0";"65.0";"B";"RUE DOCTEUR COTONI";"0610";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AO0261";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"105.0";"5.0";"S";"sols";"None";"None";"223.0";"1.107361";"49.368407";"000AO"
