id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-359339";"2022-01-28";"1";"Vente";"334000.0";"15.0";"None";"RUE DU ROUSSILLON";"2260";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AP0299";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"120.0";"4.0";"S";"sols";"None";"None";"126.0";"1.106208";"49.370917";"000AP"
"2022-359339";"2022-01-28";"1";"Vente";"334000.0";"15.0";"None";"RUE DU ROUSSILLON";"2260";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AP0299";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"120.0";"4.0";"AG";"terrains d'agrément";"None";"None";"2219.0";"1.106208";"49.370917";"000AP"
"2021-1182349";"2021-08-20";"1";"Vente";"165000.0";"54.0";"None";"RUE DOCTEUR COTONI";"0610";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AP0313";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"70.0";"3.0";"S";"sols";"None";"None";"689.0";"1.106976";"49.370605";"000AP"
"2021-1182349";"2021-08-20";"1";"Vente";"165000.0";"54.0";"None";"RUE DOCTEUR COTONI";"0610";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AP0313";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"689.0";"1.106976";"49.370605";"000AP"
"2021-1182349";"2021-08-20";"1";"Vente";"165000.0";"54.0";"None";"RUE DOCTEUR COTONI";"0610";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AP0313";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"689.0";"1.106976";"49.370605";"000AP"
"2021-1181663";"2021-07-20";"1";"Vente";"156600.0";"20.0";"None";"RUE AMPERE";"0100";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AP0197";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"47.0";"2.0";"S";"sols";"None";"None";"283.0";"1.1058";"49.373726";"000AP"
"2021-1181663";"2021-07-20";"1";"Vente";"156600.0";"20.0";"None";"RUE AMPERE";"0100";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AP0197";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"283.0";"1.1058";"49.373726";"000AP"
"2021-1181663";"2021-07-20";"1";"Vente";"156600.0";"20.0";"None";"RUE AMPERE";"0100";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AP0197";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"283.0";"1.1058";"49.373726";"000AP"
"2021-1181282";"2021-06-29";"1";"Vente";"76000.0";"13.0";"None";"RUE DE GUYENNE";"1090";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AP0248";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"80.0";"5.0";"S";"sols";"None";"None";"441.0";"1.105637";"49.371673";"000AP"
"2021-1181548";"2021-06-29";"1";"Vente";"173000.0";"11.0";"None";"RUE DES ARDENNES";"0170";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AP0141";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"100.0";"4.0";"S";"sols";"None";"None";"348.0";"1.10258";"49.371595";"000AP"
"2021-1181282";"2021-06-29";"1";"Vente";"76000.0";"13.0";"None";"RUE DE GUYENNE";"1090";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AP0248";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"441.0";"1.105637";"49.371673";"000AP"
"2021-1181548";"2021-06-29";"1";"Vente";"173000.0";"11.0";"None";"RUE DES ARDENNES";"0170";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AP0141";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"348.0";"1.10258";"49.371595";"000AP"
"2020-1066546";"2020-12-02";"1";"Vente";"215100.0";"22.0";"None";"RUE AMPERE";"0100";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AP0198";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"133.0";"6.0";"J";"jardins";"POTAG";"Jardin potager";"473.0";"1.105529";"49.373688";"000AP"
