id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-361562";"2022-06-24";"1";"Vente";"369200.0";"10.0";"None";"RUE ETIENNE DOLET";"0810";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AR0372";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"210.0";"6.0";"S";"sols";"None";"None";"618.0";"1.108478";"49.373159";"000AR"
"2022-361562";"2022-06-24";"1";"Vente";"369200.0";"10.0";"None";"RUE ETIENNE DOLET";"0810";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AR0372";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"618.0";"1.108478";"49.373159";"000AR"
"2022-361562";"2022-06-24";"1";"Vente";"369200.0";"10.0";"None";"RUE ETIENNE DOLET";"0810";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AR0372";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"618.0";"1.108478";"49.373159";"000AR"
"2022-361491";"2022-06-08";"1";"Vente";"100000.0";"68.0";"None";"RUE MAURICE BLOT";"1660";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AR0161";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"50.0";"3.0";"S";"sols";"None";"None";"95.0";"1.113615";"49.372202";"000AR"
"2022-361491";"2022-06-08";"1";"Vente";"100000.0";"68.0";"None";"RUE MAURICE BLOT";"1660";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AR0161";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"95.0";"1.113615";"49.372202";"000AR"
"2022-361491";"2022-06-08";"1";"Vente";"100000.0";"nan";"None";"RUE MAURICE BLOT";"1660";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AR0276";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"70.0";"1.113532";"49.372344";"000AR"
"2021-1183989";"2021-10-14";"1";"Vente";"111000.0";"45.0";"None";"RUE MAURICE BLOT";"1660";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AR0143";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"46.0";"3.0";"S";"sols";"None";"None";"95.0";"1.114309";"49.372126";"000AR"
"2021-1183989";"2021-10-14";"1";"Vente";"111000.0";"47.0";"None";"RUE MAURICE BLOT";"1660";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AR0144";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"46.0";"3.0";"S";"sols";"None";"None";"93.0";"1.114237";"49.372127";"000AR"
"2021-1183989";"2021-10-14";"1";"Vente";"111000.0";"49.0";"None";"RUE MAURICE BLOT";"1660";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AR0147";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"46.0";"3.0";"S";"sols";"None";"None";"96.0";"1.114174";"49.372109";"000AR"
"2021-1183989";"2021-10-14";"1";"Vente";"111000.0";"45.0";"None";"RUE MAURICE BLOT";"1660";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AR0143";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"95.0";"1.114309";"49.372126";"000AR"
