id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-360790";"2022-05-24";"1";"Vente";"117000.0";"13.0";"None";"RUE LAMBERT LAFONTAINE";"1410";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AS0121";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"82.0";"4.0";"S";"sols";"None";"None";"71.0";"1.110634";"49.377535";"000AS"
"2021-1183871";"2021-10-26";"1";"Vente";"116000.0";"31.0";"None";"RUE PARMENTIER";"1850";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AS0231";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"95.0";"4.0";"S";"sols";"None";"None";"107.0";"1.111406";"49.37655";"000AS"
"2021-1183755";"2021-10-09";"1";"Vente";"147000.0";"135.0";"None";"RUE LAZARE CARNOT";"1450";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AS0041";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"57.0";"4.0";"S";"sols";"None";"None";"102.0";"1.108265";"49.376412";"000AS"
"2021-1183755";"2021-10-09";"1";"Vente";"147000.0";"135.0";"None";"RUE LAZARE CARNOT";"1450";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AS0041";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"102.0";"1.108265";"49.376412";"000AS"
"2021-1183134";"2021-09-24";"1";"Vente";"155500.0";"227.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AS0002";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"48.0";"3.0";"S";"sols";"None";"None";"46.0";"1.107283";"49.377387";"000AS"
"2021-1183134";"2021-09-24";"1";"Vente";"155500.0";"227.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AS0002";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"46.0";"1.107283";"49.377387";"000AS"
"2021-1183134";"2021-09-24";"1";"Vente";"155500.0";"227.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AS0002";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"46.0";"1.107283";"49.377387";"000AS"
"2021-1183482";"2021-09-16";"1";"Vente";"76000.0";"19.0";"None";"RUE DE FORT DE VAUX";"0910";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AS0015";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"80.0";"3.0";"S";"sols";"None";"None";"307.0";"1.106887";"49.375801";"000AS"
"2021-1183025";"2021-09-15";"1";"Vente";"151000.0";"215.0";"None";"RUE LAZARE CARNOT";"1450";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AS0500";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"74.0";"3.0";"S";"sols";"None";"None";"125.0";"1.108728";"49.376015";"000AS"
"2021-1183025";"2021-09-15";"1";"Vente";"151000.0";"nan";"None";"RUE LAZARE CARNOT";"1450";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AS0444";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"193.0";"1.10847";"49.375931";"000AS"
"2021-1183025";"2021-09-15";"1";"Vente";"151000.0";"nan";"None";"RUE LAZARE CARNOT";"1450";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AS0447";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"2.0";"1.108513";"49.375956";"000AS"
"2021-1183025";"2021-09-15";"1";"Vente";"151000.0";"nan";"None";"RUE LAZARE CARNOT";"1450";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AS0448";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"2.0";"1.108534";"49.375959";"000AS"
"2021-1183025";"2021-09-15";"1";"Vente";"151000.0";"nan";"None";"RUE LAZARE CARNOT";"1450";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AS0451";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"78.0";"1.108785";"49.37599";"000AS"
