id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-359152";"2022-02-01";"1";"Vente";"160000.0";"14.0";"None";"RUE DU VELAY";"2365";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AT0685";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"74.0";"4.0";"S";"sols";"None";"None";"311.0";"1.09811";"49.372986";"000AT"
"2021-1182234";"2021-08-06";"1";"Vente";"166500.0";"6.0";"None";"RUE RENE HARTMANN";"2160";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AT0134";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"67.0";"4.0";"S";"sols";"None";"None";"329.0";"1.105556";"49.376651";"000AT"
"2021-1182234";"2021-08-06";"1";"Vente";"166500.0";"6.0";"None";"RUE RENE HARTMANN";"2160";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AT0134";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"329.0";"1.105556";"49.376651";"000AT"
"2021-1181951";"2021-07-19";"1";"Vente";"167000.0";"71.0";"None";"RUE FELIX FAURE";"0830";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AT0050";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"63.0";"4.0";"S";"sols";"None";"None";"328.0";"1.098428";"49.377485";"000AT"
"2021-1181951";"2021-07-19";"1";"Vente";"167000.0";"71.0";"None";"RUE FELIX FAURE";"0830";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AT0050";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"328.0";"1.098428";"49.377485";"000AT"
"2021-1182005";"2021-07-12";"1";"Vente";"105000.0";"43.0";"None";"RUE FELIX FAURE";"0830";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AT0403";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"75.0";"3.0";"J";"jardins";"POTAG";"Jardin potager";"961.0";"1.102659";"49.377303";"000AT"
"2021-1180631";"2021-05-26";"2";"Vente";"131800.0";"12.0";"None";"RUE DE BOURGOGNE";"0320";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AT0854";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"414.0";"1.10528";"49.375439";"000AT"
"2021-1179038";"2021-03-01";"1";"Vente";"118000.0";"7.0";"None";"CHE DU BON CLOS";"0300";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AT0060";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"60.0";"3.0";"S";"sols";"None";"None";"326.0";"1.10023";"49.377324";"000AT"
"2021-1178584";"2021-02-22";"1";"Vente";"168100.0";"2.0";"None";"RUE DOC YVES MORAULT";"0670";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AT0039";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"62.0";"4.0";"S";"sols";"None";"None";"449.0";"1.099532";"49.377434";"000AT"
"2021-1178584";"2021-02-22";"1";"Vente";"168100.0";"2.0";"None";"RUE DOC YVES MORAULT";"0670";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AT0039";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"449.0";"1.099532";"49.377434";"000AT"
