id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-1183811";"2021-10-21";"1";"Vente";"220000.0";"11.0";"None";"RUE ARMAND BARBES";"0190";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AW0230";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"115.0";"3.0";"S";"sols";"None";"None";"749.0";"1.10373";"49.381385";"000AW"
"2021-1183811";"2021-10-21";"1";"Vente";"220000.0";"11.0";"None";"RUE ARMAND BARBES";"0190";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AW0230";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"749.0";"1.10373";"49.381385";"000AW"
"2021-1183432";"2021-10-06";"1";"Vente";"157000.0";"5.0";"None";"ALL DES  COTONNIERS";"0542";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AW0559";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"78.0";"4.0";"S";"sols";"None";"None";"152.0";"1.104766";"49.380337";"000AW"
"2021-1183432";"2021-10-06";"1";"Vente";"157000.0";"6.0";"None";"ALL DES  COTONNIERS";"0542";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AW0728";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"49.0";"1.10478";"49.38039";"000AW"
"2021-1182748";"2021-08-11";"1";"Vente";"172000.0";"10.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AW0184";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"71.0";"4.0";"S";"sols";"None";"None";"112.0";"1.105356";"49.382567";"000AW"
"2021-1182748";"2021-08-11";"1";"Vente";"172000.0";"2.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AW0185";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"215.0";"1.105516";"49.382582";"000AW"
"2021-1181642";"2021-07-20";"1";"Vente";"126000.0";"29.0";"None";"RUE LARSON COUTURE";"1440";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AW0452";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"70.0";"3.0";"S";"sols";"None";"None";"99.0";"1.103899";"49.379614";"000AW"
"2021-1181642";"2021-07-20";"1";"Vente";"126000.0";"nan";"None";"RUE LARSON COUTURE";"1440";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AW0444";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"925.0";"1.103979";"49.379704";"000AW"
"2021-1181642";"2021-07-20";"1";"Vente";"126000.0";"nan";"None";"RUE LARSON COUTURE";"1440";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AW0476";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"7.0";"1.103909";"49.379724";"000AW"
"2021-1181384";"2021-07-09";"1";"Vente";"150000.0";"18.0";"None";"AV DU VAL L ABBE";"2360";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AW0301";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"58.0";"3.0";"S";"sols";"None";"None";"495.0";"1.101502";"49.379665";"000AW"
