id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-1183134";"2021-09-24";"1";"Vente";"155500.0";"nan";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0145";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"126.0";"1.10692";"49.377313";"000AX"
"2021-1182745";"2021-09-01";"1";"Vente";"123000.0";"138.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0305";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"93.0";"3.0";"S";"sols";"None";"None";"102.0";"1.106378";"49.380383";"000AX"
"2021-1182745";"2021-09-01";"1";"Vente";"123000.0";"138.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0305";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"102.0";"1.106378";"49.380383";"000AX"
"2021-1182745";"2021-09-01";"1";"Vente";"123000.0";"nan";"None";"RUE PIERRE CORNEILLE";"2010";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0318";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"751.0";"1.106019";"49.380498";"000AX"
"2021-1182046";"2021-07-08";"1";"Vente";"120900.0";"175.0";"B";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0086";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"52.0";"2.0";"S";"sols";"None";"None";"83.0";"1.107304";"49.379017";"000AX"
"2021-1182046";"2021-07-08";"1";"Vente";"120900.0";"175.0";"B";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0086";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"83.0";"1.107304";"49.379017";"000AX"
"2021-1182046";"2021-07-08";"1";"Vente";"120900.0";"165.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0087";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"J";"jardins";"POTAG";"Jardin potager";"45.0";"1.107408";"49.379025";"000AX"
"2021-1182046";"2021-07-08";"1";"Vente";"120900.0";"175.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0489";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"22.0";"1.10718";"49.379008";"000AX"
"2021-1181984";"2021-07-07";"1";"Vente";"88650.0";"162.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0296";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"29.0";"1.0";"S";"sols";"None";"None";"27.0";"1.106309";"49.380153";"000AX"
"2021-1181025";"2021-06-22";"1";"Vente";"10000.0";"134.0";"A";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0430";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"J";"jardins";"POTAG";"Jardin potager";"14.0";"1.105965";"49.380293";"000AX"
"2021-1181234";"2021-06-17";"1";"Vente";"81000.0";"121.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0391";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"56.0";"3.0";"S";"sols";"None";"None";"44.0";"1.106995";"49.380437";"000AX"
"2021-1181234";"2021-06-17";"1";"Vente";"81000.0";"121.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0391";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"44.0";"1.106995";"49.380437";"000AX"
"2021-1181234";"2021-06-17";"1";"Vente";"81000.0";"115.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0042";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"188.0";"1.10693";"49.380355";"000AX"
"2021-1181234";"2021-06-17";"1";"Vente";"81000.0";"121.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0390";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"18.0";"1.107056";"49.38043";"000AX"
"2021-1178620";"2021-02-10";"1";"Vente";"76000.0";"266.0";"B";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0491";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"44.0";"3.0";"S";"sols";"None";"None";"30.0";"1.105868";"49.378847";"000AX"
"2021-1178620";"2021-02-10";"1";"Vente";"76000.0";"266.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0493";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"2.0";"1.105848";"49.378835";"000AX"
"2021-1178482";"2021-02-08";"1";"Vente";"91800.0";"240.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0221";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"64.0";"2.0";"S";"sols";"None";"None";"134.0";"1.106562";"49.379214";"000AX"
"2021-1178482";"2021-02-08";"1";"Vente";"91800.0";"240.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0221";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"134.0";"1.106562";"49.379214";"000AX"
"2021-1178540";"2021-02-05";"1";"Vente";"57000.0";"6.0";"None";"RUE FELIX FAURE";"0830";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0177";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"35.0";"2.0";"S";"sols";"None";"None";"29.0";"1.106566";"49.378253";"000AX"
"2021-1178335";"2021-01-29";"1";"Vente";"41000.0";"240.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0221";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"64.0";"2.0";"S";"sols";"None";"None";"134.0";"1.106562";"49.379214";"000AX"
"2020-1065793";"2020-11-18";"1";"Vente";"62000.0";"156.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0294";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"29.0";"2.0";"S";"sols";"None";"None";"21.0";"1.106471";"49.380166";"000AX"
"2020-1063799";"2020-08-26";"1";"Vente";"85000.0";"135.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0365";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"63.0";"3.0";"S";"sols";"None";"None";"51.0";"1.106772";"49.38018";"000AX"
"2020-1063799";"2020-08-26";"1";"Vente";"85000.0";"137.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0059";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"234.0";"1.106919";"49.380113";"000AX"
"2020-1063799";"2020-08-26";"1";"Vente";"85000.0";"nan";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0369";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"86.0";"1.107051";"49.380231";"000AX"
"2020-1062691";"2020-06-05";"1";"Vente";"86000.0";"115.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0393";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"72.0";"4.0";"S";"sols";"None";"None";"27.0";"1.106746";"49.38041";"000AX"
"2020-1062691";"2020-06-05";"1";"Vente";"86000.0";"115.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0388";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"14.0";"1.107153";"49.380437";"000AX"
"2020-1062691";"2020-06-05";"1";"Vente";"86000.0";"115.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0041";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"36.0";"1.106681";"49.38041";"000AX"
"2020-1060846";"2020-03-02";"1";"Vente";"107000.0";"154.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0292";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"63.0";"4.0";"S";"sols";"None";"None";"28.0";"1.10654";"49.380162";"000AX"
"2020-1060846";"2020-03-02";"1";"Vente";"107000.0";"134.0";"B";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0431";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"J";"jardins";"POTAG";"Jardin potager";"16.0";"1.105943";"49.380318";"000AX"
"2020-1060846";"2020-03-02";"1";"Vente";"107000.0";"152.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0293";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"24.0";"1.106513";"49.380203";"000AX"
"2020-1060591";"2020-02-21";"1";"Vente";"124900.0";"312.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0159";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"66.0";"3.0";"S";"sols";"None";"None";"53.0";"1.105842";"49.377902";"000AX"
"2020-1060591";"2020-02-21";"1";"Vente";"124900.0";"312.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0165";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"40.0";"1.105847";"49.378037";"000AX"
"2020-1060982";"2020-02-19";"1";"Vente";"69000.0";"195.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0098";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"50.0";"3.0";"S";"sols";"None";"None";"39.0";"1.107382";"49.378677";"000AX"
"2020-1060687";"2020-02-14";"1";"Vente";"118000.0";"8.0";"None";"RUE LOUIS BUEE";"1550";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0360";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"92.0";"4.0";"S";"sols";"None";"None";"80.0";"1.107393";"49.37762";"000AX"
"2020-1060687";"2020-02-14";"1";"Vente";"118000.0";"4.0";"None";"RUE LOUIS BUEE";"1550";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AX0361";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"174.0";"1.107275";"49.377782";"000AX"
