id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-1184634";"2021-11-03";"1";"Vente";"103000.0";"61.0";"None";"RUE DE L INDUSTRIE";"1210";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0019";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"56.0";"4.0";"S";"sols";"None";"None";"178.0";"1.110174";"49.379684";"000AY"
"2021-1184634";"2021-11-03";"1";"Vente";"103000.0";"nan";"None";"RUE DE L INDUSTRIE";"1210";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0209";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"202.0";"1.110258";"49.379499";"000AY"
"2021-1183868";"2021-10-01";"1";"Vente";"179000.0";"15.0";"B";"RUE AMIRAL CECILLE";"0090";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0142";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"80.0";"5.0";"S";"sols";"None";"None";"438.0";"1.109012";"49.378946";"000AY"
"2021-1183868";"2021-10-01";"1";"Vente";"179000.0";"15.0";"B";"RUE AMIRAL CECILLE";"0090";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0142";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"438.0";"1.109012";"49.378946";"000AY"
"2021-1181828";"2021-07-16";"1";"Vente";"136500.0";"24.0";"None";"RUE AMIRAL CECILLE";"0090";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0109";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"93.0";"5.0";"S";"sols";"None";"None";"72.0";"1.108985";"49.378478";"000AY"
"2021-1181828";"2021-07-16";"1";"Vente";"136500.0";"24.0";"None";"RUE AMIRAL CECILLE";"0090";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0109";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"72.0";"1.108985";"49.378478";"000AY"
"2021-1181828";"2021-07-16";"1";"Vente";"136500.0";"nan";"None";"RUE AMIRAL CECILLE";"0090";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0133";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"301.0";"1.108792";"49.378441";"000AY"
"2021-1180783";"2021-06-17";"1";"Vente";"101000.0";"51.0";"None";"RUE LAZARE CARNOT";"1450";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0073";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"70.0";"4.0";"S";"sols";"None";"None";"65.0";"1.107854";"49.379085";"000AY"
"2021-1181233";"2021-06-17";"1";"Vente";"55000.0";"61.0";"None";"RUE DE L INDUSTRIE";"1210";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0019";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"56.0";"4.0";"S";"sols";"None";"None";"178.0";"1.110174";"49.379684";"000AY"
"2021-1180783";"2021-06-17";"1";"Vente";"101000.0";"51.0";"None";"RUE LAZARE CARNOT";"1450";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0073";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"65.0";"1.107854";"49.379085";"000AY"
"2021-1180783";"2021-06-17";"1";"Vente";"101000.0";"51.0";"None";"RUE LAZARE CARNOT";"1450";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0227";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"158.0";"1.10797";"49.378986";"000AY"
"2021-1181233";"2021-06-17";"1";"Vente";"55000.0";"nan";"None";"RUE DE L INDUSTRIE";"1210";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0209";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"202.0";"1.110258";"49.379499";"000AY"
"2021-1180425";"2021-05-07";"1";"Vente";"950000.0";"75.0";"None";"RUE DE L INDUSTRIE";"1210";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0110";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"30.0";"1.0";"S";"sols";"None";"None";"223.0";"1.109719";"49.37866";"000AY"
"2021-1180425";"2021-05-07";"1";"Vente";"950000.0";"75.0";"None";"RUE DE L INDUSTRIE";"1210";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0110";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"74.0";"3.0";"S";"sols";"None";"None";"223.0";"1.109719";"49.37866";"000AY"
"2021-1180425";"2021-05-07";"1";"Vente";"950000.0";"75.0";"None";"RUE DE L INDUSTRIE";"1210";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0110";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"56.0";"2.0";"S";"sols";"None";"None";"223.0";"1.109719";"49.37866";"000AY"
"2021-1180425";"2021-05-07";"1";"Vente";"950000.0";"75.0";"None";"RUE DE L INDUSTRIE";"1210";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0110";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"35.0";"2.0";"S";"sols";"None";"None";"223.0";"1.109719";"49.37866";"000AY"
"2021-1180425";"2021-05-07";"1";"Vente";"950000.0";"75.0";"None";"RUE DE L INDUSTRIE";"1210";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0110";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"42.0";"2.0";"S";"sols";"None";"None";"223.0";"1.109719";"49.37866";"000AY"
"2021-1180425";"2021-05-07";"1";"Vente";"950000.0";"75.0";"None";"RUE DE L INDUSTRIE";"1210";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0110";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"51.0";"3.0";"S";"sols";"None";"None";"223.0";"1.109719";"49.37866";"000AY"
"2021-1180425";"2021-05-07";"1";"Vente";"950000.0";"75.0";"None";"RUE DE L INDUSTRIE";"1210";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0110";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"41.0";"3.0";"S";"sols";"None";"None";"223.0";"1.109719";"49.37866";"000AY"
"2021-1180425";"2021-05-07";"1";"Vente";"950000.0";"75.0";"None";"RUE DE L INDUSTRIE";"1210";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0110";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"60.0";"3.0";"S";"sols";"None";"None";"223.0";"1.109719";"49.37866";"000AY"
"2021-1180425";"2021-05-07";"1";"Vente";"950000.0";"75.0";"None";"RUE DE L INDUSTRIE";"1210";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0110";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"50.0";"3.0";"S";"sols";"None";"None";"223.0";"1.109719";"49.37866";"000AY"
"2021-1180425";"2021-05-07";"1";"Vente";"950000.0";"75.0";"None";"RUE DE L INDUSTRIE";"1210";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0110";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"51.0";"3.0";"S";"sols";"None";"None";"223.0";"1.109719";"49.37866";"000AY"
"2021-1180425";"2021-05-07";"1";"Vente";"950000.0";"75.0";"None";"RUE DE L INDUSTRIE";"1210";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0110";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"51.0";"3.0";"S";"sols";"None";"None";"223.0";"1.109719";"49.37866";"000AY"
"2021-1180425";"2021-05-07";"1";"Vente";"950000.0";"75.0";"None";"RUE DE L INDUSTRIE";"1210";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0110";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"48.0";"3.0";"S";"sols";"None";"None";"223.0";"1.109719";"49.37866";"000AY"
"2021-1180425";"2021-05-07";"1";"Vente";"950000.0";"75.0";"None";"RUE DE L INDUSTRIE";"1210";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0110";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"48.0";"3.0";"S";"sols";"None";"None";"223.0";"1.109719";"49.37866";"000AY"
"2021-1180425";"2021-05-07";"1";"Vente";"950000.0";"75.0";"None";"RUE DE L INDUSTRIE";"1210";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0110";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"53.0";"3.0";"S";"sols";"None";"None";"223.0";"1.109719";"49.37866";"000AY"
"2021-1180425";"2021-05-07";"1";"Vente";"950000.0";"75.0";"None";"RUE DE L INDUSTRIE";"1210";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0110";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"53.0";"3.0";"S";"sols";"None";"None";"223.0";"1.109719";"49.37866";"000AY"
"2021-1180425";"2021-05-07";"1";"Vente";"950000.0";"75.0";"None";"RUE DE L INDUSTRIE";"1210";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AY0110";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"53.0";"3.0";"S";"sols";"None";"None";"223.0";"1.109719";"49.37866";"000AY"
