id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-360376";"2022-05-16";"1";"Vente";"170000.0";"6.0";"None";"PL DE L EGLISE";"0730";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AZ0048";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"80.0";"4.0";"S";"sols";"None";"None";"319.0";"1.106595";"49.382037";"000AZ"
"2022-360376";"2022-05-16";"1";"Vente";"170000.0";"37.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AZ0220";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"234.0";"1.106238";"49.382039";"000AZ"
"2021-1184802";"2021-11-10";"1";"Vente";"107000.0";"39.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AZ0064";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"80.0";"4.0";"S";"sols";"None";"None";"38.0";"1.106127";"49.382122";"000AZ"
"2021-1184802";"2021-11-10";"1";"Vente";"107000.0";"39.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AZ0064";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"38.0";"1.106127";"49.382122";"000AZ"
"2021-1184802";"2021-11-10";"1";"Vente";"107000.0";"37.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AZ0220";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"234.0";"1.106238";"49.382039";"000AZ"
"2021-1181984";"2021-07-07";"1";"Vente";"88650.0";"64.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AZ0207";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"87.0";"0.0";"S";"sols";"None";"None";"52.0";"1.10594";"49.381729";"000AZ"
"2021-1178097";"2021-01-26";"1";"Vente";"212000.0";"83.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AZ0232";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"120.0";"3.0";"S";"sols";"None";"None";"242.0";"1.106504";"49.38131";"000AZ"
"2021-1178097";"2021-01-26";"1";"Vente";"212000.0";"83.0";"None";"RUE GAMBETTA";"0974";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AZ0232";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"180.0";"0.0";"S";"sols";"None";"None";"242.0";"1.106504";"49.38131";"000AZ"
"2020-1066403";"2020-12-21";"1";"Vente";"138000.0";"2.0";"None";"RUE LAZARE CARNOT";"1450";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AZ0046";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"90.0";"6.0";"S";"sols";"None";"None";"110.0";"1.107162";"49.382068";"000AZ"
"2020-1066403";"2020-12-21";"1";"Vente";"138000.0";"2.0";"None";"RUE LAZARE CARNOT";"1450";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000AZ0046";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"110.0";"1.107162";"49.382068";"000AZ"
