id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-360013";"2022-04-07";"1";"Vente";"47000.0";"80.0";"None";"RUE PAUL ELUARD";"1890";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BC0233";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"22.0";"1.0";"S";"sols";"None";"None";"78.0";"1.104288";"49.385827";"000BC"
"2022-360013";"2022-04-07";"1";"Vente";"47000.0";"80.0";"None";"RUE PAUL ELUARD";"1890";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BC0233";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"78.0";"1.104288";"49.385827";"000BC"
"2021-1184614";"2021-10-27";"1";"Vente";"200000.0";"2.0";"None";"RUE VALLETTE";"2362";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BC0025";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"110.0";"5.0";"S";"sols";"None";"None";"163.0";"1.106084";"49.387062";"000BC"
"2021-1184614";"2021-10-27";"1";"Vente";"200000.0";"4.0";"None";"RUE VALLETTE";"2362";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BC0420";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"27.0";"1.106045";"49.387009";"000BC"
"2021-1183701";"2021-10-15";"1";"Vente";"99000.0";"148.0";"None";"RUE DE LA REPUBLIQUE";"2180";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BC0289";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"44.0";"3.0";"S";"sols";"None";"None";"36.0";"1.105139";"49.385503";"000BC"
"2021-1183701";"2021-10-15";"1";"Vente";"99000.0";"nan";"None";"RUE DE LA REPUBLIQUE";"2180";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BC0287";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"47.0";"1.105079";"49.385532";"000BC"
"2021-1183239";"2021-09-29";"1";"Vente";"171000.0";"133.0";"None";"RUE DE LA REPUBLIQUE";"2180";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BC0150";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"60.0";"4.0";"S";"sols";"None";"None";"286.0";"1.105594";"49.385297";"000BC"
"2021-1181213";"2021-07-01";"1";"Vente";"188600.0";"10.0";"None";"RUE JEAN RONDEAUX";"2302";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BC0212";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"93.0";"3.0";"S";"sols";"None";"None";"569.0";"1.104307";"49.385483";"000BC"
"2021-1181213";"2021-07-01";"1";"Vente";"188600.0";"10.0";"None";"RUE JEAN RONDEAUX";"2302";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BC0212";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"569.0";"1.104307";"49.385483";"000BC"
"2021-1181574";"2021-06-29";"1";"Vente";"95000.0";"66.0";"None";"RUE PAUL ELUARD";"1890";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BC0235";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"56.0";"2.0";"S";"sols";"None";"None";"389.0";"1.104043";"49.386022";"000BC"
