id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-361482";"2022-06-09";"1";"Vente";"160000.0";"65.0";"None";"RUE DE LA REPUBLIQUE";"2180";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BD0032";"None";"None";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"88.0";"4.0";"S";"sols";"None";"None";"222.0";"1.105423";"49.387887";"000BD"
"2022-361482";"2022-06-09";"1";"Vente";"160000.0";"65.0";"None";"RUE DE LA REPUBLIQUE";"2180";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BD0032";"None";"None";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"222.0";"1.105423";"49.387887";"000BD"
"2022-361482";"2022-06-09";"1";"Vente";"160000.0";"65.0";"None";"RUE DE LA REPUBLIQUE";"2180";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BD0032";"None";"None";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"222.0";"1.105423";"49.387887";"000BD"
"2022-361482";"2022-06-09";"1";"Vente";"160000.0";"55.0";"None";"RUE DE LA REPUBLIQUE";"2180";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BD0026";"None";"None";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"384.0";"1.10542";"49.38781";"000BD"
"2021-1183282";"2021-09-29";"2";"Vente";"3000.0";"16.0";"None";"RUE DE LA REPUBLIQUE";"2180";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BD0378";"None";"None";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"6.0";"nan";"nan";"000BD"
"2021-1183282";"2021-09-29";"2";"Vente";"3000.0";"11.0";"B";"RUE PAUL ELUARD";"1890";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BD0376";"None";"None";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"4.0";"nan";"nan";"000BD"
"2021-1182164";"2021-08-06";"1";"Vente";"136000.0";"12.0";"None";"RUE DE LA REPUBLIQUE";"2180";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BD0157";"None";"None";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"88.0";"3.0";"S";"sols";"None";"None";"39.0";"1.104116";"49.390399";"000BD"
"2021-1182164";"2021-08-06";"1";"Vente";"136000.0";"2.0";"None";"RUE DE LA REPUBLIQUE";"2180";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BD0156";"None";"None";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"272.0";"1.104268";"49.39046";"000BD"
"2021-1182164";"2021-08-06";"1";"Vente";"136000.0";"12.0";"None";"RUE DE LA REPUBLIQUE";"2180";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BD0163";"None";"None";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"12.0";"1.104109";"49.390614";"000BD"
"2021-1182164";"2021-08-06";"1";"Vente";"136000.0";"8.0";"None";"RUE DE LA REPUBLIQUE";"2180";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BD0167";"None";"None";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"J";"jardins";"POTAG";"Jardin potager";"313.0";"1.103879";"49.390629";"000BD"
"2021-1182164";"2021-08-06";"1";"Vente";"136000.0";"8.0";"None";"RUE DE LA REPUBLIQUE";"2180";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BD0167";"None";"None";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"127.0";"1.103879";"49.390629";"000BD"
"2021-1182164";"2021-08-06";"1";"Vente";"136000.0";"12.0";"None";"RUE DE LA REPUBLIQUE";"2180";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BD0169";"None";"None";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"J";"jardins";"POTAG";"Jardin potager";"130.0";"1.103849";"49.390715";"000BD"
"2021-1182259";"2021-07-29";"1";"Vente";"204500.0";"2.0";"None";"RUE DE LA REPUBLIQUE";"2180";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BD0165";"None";"None";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"60.0";"4.0";"S";"sols";"None";"None";"170.0";"1.104263";"49.390615";"000BD"
"2021-1182259";"2021-07-29";"1";"Vente";"204500.0";"2.0";"None";"RUE DE LA REPUBLIQUE";"2180";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BD0156";"None";"None";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"272.0";"1.104268";"49.39046";"000BD"
"2021-1181956";"2021-07-13";"1";"Vente";"314000.0";"159.0";"None";"RUE DE PARIS";"1840";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BD0201";"None";"None";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"121.0";"5.0";"AG";"terrains d'agrément";"None";"None";"949.0";"1.106315";"49.389394";"000BD"
"2021-1181956";"2021-07-13";"1";"Vente";"314000.0";"159.0";"None";"RUE DE PARIS";"1840";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BD0201";"None";"None";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"121.0";"5.0";"S";"sols";"None";"None";"500.0";"1.106315";"49.389394";"000BD"
"2021-1180127";"2021-04-30";"1";"Vente";"150000.0";"68.0";"None";"RUE DE LA REPUBLIQUE";"2180";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BD0053";"None";"None";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"96.0";"6.0";"S";"sols";"None";"None";"58.0";"1.104715";"49.388374";"000BD"
"2020-1065231";"2020-10-28";"1";"Vente";"80000.0";"17.0";"None";"RUE DE LA REPUBLIQUE";"2180";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BD0115";"None";"None";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"72.0";"3.0";"S";"sols";"None";"None";"31.0";"1.104804";"49.389247";"000BD"
"2020-1065231";"2020-10-28";"1";"Vente";"80000.0";"17.0";"None";"RUE DE LA REPUBLIQUE";"2180";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BD0111";"None";"None";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"72.0";"1.104849";"49.38915";"000BD"
"2020-1064780";"2020-09-25";"1";"Vente";"74500.0";"68.0";"B";"RUE DE PARIS";"1840";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BD0371";"None";"None";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"182.0";"1.103727";"49.39131";"000BD"
