id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-361006";"2022-06-01";"1";"Vente";"218350.0";"5.0";"None";"RUE ARISTIDE BRIAND";"0180";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BE0044";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"78.0";"4.0";"S";"sols";"None";"None";"310.0";"1.098946";"49.38639";"000BE"
"2022-361006";"2022-06-01";"1";"Vente";"218350.0";"5.0";"None";"RUE ARISTIDE BRIAND";"0180";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BE0044";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"310.0";"1.098946";"49.38639";"000BE"
"2022-360795";"2022-05-25";"1";"Vente";"182800.0";"2.0";"None";"RUE J BAPTISTE CLEMENT";"1260";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BE0077";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"81.0";"5.0";"S";"sols";"None";"None";"485.0";"1.103333";"49.388945";"000BE"
"2021-1183726";"2021-10-15";"1";"Vente";"235000.0";"44.0";"None";"RUE JEAN RONDEAUX";"2302";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BE0346";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"70.0";"4.0";"S";"sols";"None";"None";"553.0";"1.1004";"49.386226";"000BE"
"2021-1183809";"2021-10-15";"1";"Vente";"91500.0";"55.0";"None";"RUE JEAN RONDEAUX";"2302";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BE0016";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"45.0";"3.0";"S";"sols";"None";"None";"67.0";"1.096152";"49.38549";"000BE"
"2021-1183726";"2021-10-15";"1";"Vente";"235000.0";"44.0";"None";"RUE JEAN RONDEAUX";"2302";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BE0346";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"553.0";"1.1004";"49.386226";"000BE"
"2021-1183726";"2021-10-15";"1";"Vente";"235000.0";"44.0";"None";"RUE JEAN RONDEAUX";"2302";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BE0346";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"553.0";"1.1004";"49.386226";"000BE"
"2021-1180748";"2021-06-17";"1";"Vente";"263000.0";"28.0";"None";"RUE ANATOLE FRANCE";"0120";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BE0242";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"114.0";"6.0";"AG";"terrains d'agrément";"None";"None";"400.0";"1.100219";"49.38535";"000BE"
"2021-1180748";"2021-06-17";"1";"Vente";"263000.0";"28.0";"None";"RUE ANATOLE FRANCE";"0120";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BE0242";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"114.0";"6.0";"S";"sols";"None";"None";"200.0";"1.100219";"49.38535";"000BE"
"2021-1180819";"2021-06-07";"1";"Vente";"52000.0";"nan";"None";"RUE PAUL ELUARD";"1890";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BE0393";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"180.0";"1.102538";"49.389926";"000BE"
