id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-360155";"2022-03-18";"1";"Vente";"150300.0";"7.0";"None";"RUE DES FRERES LUMIERE";"0930";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BH0053";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"90.0";"4.0";"S";"sols";"None";"None";"376.0";"1.094234";"49.387607";"000BH"
"2022-359099";"2022-01-10";"1";"Vente";"292550.0";"6.0";"None";"RUE BENJAMIN FRANKLIN";"0260";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BH0307";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"106.0";"4.0";"S";"sols";"None";"None";"483.0";"1.090388";"49.386909";"000BH"
"2021-1183987";"2021-10-11";"1";"Vente";"307500.0";"62.0";"None";"RUE DES FUSILLES";"0940";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BH0003";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"85.0";"5.0";"S";"sols";"None";"None";"117.0";"1.087889";"49.385355";"000BH"
"2021-1183987";"2021-10-11";"1";"Vente";"307500.0";"62.0";"None";"RUE DES FUSILLES";"0940";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BH0003";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"85.0";"5.0";"J";"jardins";"POTAG";"Jardin potager";"907.0";"1.087889";"49.385355";"000BH"
"2021-1183648";"2021-09-24";"1";"Vente";"156300.0";"36.0";"None";"RUE DE STALINGRAD";"2340";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BH0072";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"80.0";"4.0";"S";"sols";"None";"None";"278.0";"1.094967";"49.386874";"000BH"
"2021-1183648";"2021-09-24";"1";"Vente";"156300.0";"36.0";"None";"RUE DE STALINGRAD";"2340";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BH0072";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"278.0";"1.094967";"49.386874";"000BH"
"2021-1183648";"2021-09-24";"1";"Vente";"156300.0";"36.0";"None";"RUE DE STALINGRAD";"2340";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BH0072";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"278.0";"1.094967";"49.386874";"000BH"
"2021-1182670";"2021-09-03";"1";"Vente";"145000.0";"4.0";"None";"RUE DOCTEUR PAVLOV";"0640";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BH0155";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"76.0";"4.0";"S";"sols";"None";"None";"565.0";"1.093141";"49.386208";"000BH"
"2021-1182670";"2021-09-03";"1";"Vente";"145000.0";"4.0";"None";"RUE DOCTEUR PAVLOV";"0640";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BH0155";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"565.0";"1.093141";"49.386208";"000BH"
"2021-1182589";"2021-08-31";"1";"Vente";"102400.0";"2.0";"None";"RUE PAUL LANGEVIN";"1900";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BH0030";"None";"None";"213";"nan";"223";"73.3";"232";"None";"None";"None";"None";"None";"3";"2";"Appartement";"73.0";"4.0";"None";"None";"None";"None";"nan";"1.093953";"49.388219";"000BH"
