id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-1181666";"2021-07-06";"1";"Vente";"332800.0";"14.0";"None";"RUE DE BRESSE";"0328";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BK0152";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"147.0";"5.0";"S";"sols";"None";"None";"596.0";"1.096823";"49.37371";"000BK"
"2021-1181666";"2021-07-06";"1";"Vente";"332800.0";"14.0";"None";"RUE DE BRESSE";"0328";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BK0152";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"596.0";"1.096823";"49.37371";"000BK"
"2021-1180784";"2021-06-15";"1";"Vente";"304500.0";"18.0";"None";"RUE DE L ARTOIS";"0210";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BK0124";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"177.0";"5.0";"S";"sols";"None";"None";"613.0";"1.095314";"49.374247";"000BK"
"2021-1180336";"2021-05-25";"1";"Vente";"130500.0";"9100.0";"None";"RUE FELIX FAURE PROLONGEE";"0829";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BK0103";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"120.0";"4.0";"S";"sols";"None";"None";"774.0";"1.096864";"49.377333";"000BK"
"2021-1178537";"2021-02-16";"1";"Vente";"266000.0";"36.0";"None";"RUE DE L ARTOIS";"0210";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BK0133";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"128.0";"5.0";"S";"sols";"None";"None";"496.0";"1.096812";"49.374985";"000BK"
"2021-1178322";"2021-02-05";"1";"Vente";"213600.0";"37.0";"None";"RUE DU VELAY";"2365";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BK0168";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"83.0";"4.0";"S";"sols";"None";"None";"503.0";"1.097363";"49.373894";"000BK"
"2018-1034844";"2018-09-21";"1";"Vente";"276400.0";"14.0";"None";"RUE DE BRESSE";"0328";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BK0152";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"147.0";"5.0";"S";"sols";"None";"None";"596.0";"1.096823";"49.37371";"000BK"
"2018-1033235";"2018-06-14";"1";"Vente";"267500.0";"13.0";"None";"RUE DE L ARTOIS";"0210";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BK0141";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"128.0";"5.0";"S";"sols";"None";"None";"499.0";"1.095867";"49.374616";"000BK"
"2018-1030839";"2018-01-18";"1";"Vente";"35000.0";"nan";"None";"RUE DE COURONNE";"0560";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BK0077";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"L";"landes";"None";"None";"3368.0";"1.089393";"49.373443";"000BK"
"2018-1030839";"2018-01-18";"1";"Vente";"35000.0";"nan";"None";"RUE DE COURONNE";"0560";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BK0078";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"P";"prés";"None";"None";"3595.0";"1.091164";"49.374035";"000BK"
"2017-545761";"2017-12-22";"1";"Vente";"150000.0";"nan";"None";"RUE FELIX FAURE PROLONGEE";"0829";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BK0056";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"45.0";"3.0";"J";"jardins";"POTAG";"Jardin potager";"941.0";"1.096733";"49.376815";"000BK"
"2017-545761";"2017-12-22";"1";"Vente";"150000.0";"9060.0";"None";"RUE FELIX FAURE PROLONGEE";"0829";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BK0059";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"50.0";"4.0";"S";"sols";"None";"None";"513.0";"1.096717";"49.376528";"000BK"
"2017-545761";"2017-12-22";"1";"Vente";"150000.0";"9080.0";"None";"RUE FELIX FAURE PROLONGEE";"0829";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BK0104";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"50.0";"3.0";"S";"sols";"None";"None";"927.0";"1.096826";"49.377014";"000BK"
"2017-545761";"2017-12-22";"1";"Vente";"150000.0";"nan";"None";"RUE FELIX FAURE";"0830";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BK0041";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"522.0";"1.096071";"49.376504";"000BK"
"2017-545761";"2017-12-22";"1";"Vente";"150000.0";"nan";"None";"RUE FELIX FAURE";"0830";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BK0039";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"444.0";"1.095868";"49.376522";"000BK"
"2017-545761";"2017-12-22";"1";"Vente";"150000.0";"9130.0";"None";"RUE FELIX FAURE PROLONGEE";"0829";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BK0042";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"446.0";"1.096266";"49.376515";"000BK"
"2017-545761";"2017-12-22";"1";"Vente";"150000.0";"nan";"None";"RUE FELIX FAURE";"0830";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BK0053";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"J";"jardins";"POTAG";"Jardin potager";"560.0";"1.096872";"49.377142";"000BK"
"2017-545761";"2017-12-22";"1";"Vente";"150000.0";"9050.0";"None";"RUE FELIX FAURE PROLONGEE";"0829";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BK0060";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"500.0";"1.096721";"49.376467";"000BK"
"2017-545761";"2017-12-22";"1";"Vente";"150000.0";"9070.0";"None";"RUE FELIX FAURE PROLONGEE";"0829";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BK0106";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"1069.0";"1.096604";"49.376667";"000BK"
"2017-545832";"2017-12-12";"1";"Vente";"95000.0";"9080.0";"None";"RUE DE COURONNE PROLONGEE";"0559";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BK0088";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"78.0";"4.0";"S";"sols";"None";"None";"374.0";"1.091742";"49.375222";"000BK"
"2017-545832";"2017-12-12";"1";"Vente";"95000.0";"9110.0";"None";"RUE DE COURONNE PROLONGEE";"0559";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BK0092";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"60.0";"4.0";"L";"landes";"None";"None";"3221.0";"1.08898";"49.374294";"000BK"
"2017-545832";"2017-12-12";"1";"Vente";"95000.0";"nan";"None";"RUE DE COURONNE";"0560";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BK0086";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"309.0";"1.091794";"49.375006";"000BK"
"2017-545832";"2017-12-12";"1";"Vente";"95000.0";"nan";"None";"RUE DE COURONNE";"0560";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BK0087";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"560.0";"1.091692";"49.375053";"000BK"
"2017-545832";"2017-12-12";"1";"Vente";"95000.0";"nan";"None";"RUE DE COURONNE";"0560";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BK0089";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"600.0";"1.091745";"49.375401";"000BK"
"2017-545832";"2017-12-12";"1";"Vente";"95000.0";"nan";"None";"RUE DE COURONNE";"0560";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BK0090";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"660.0";"1.091472";"49.375233";"000BK"
"2017-545832";"2017-12-12";"1";"Vente";"95000.0";"nan";"None";"RUE DE COURONNE";"0560";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BK0091";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"L";"landes";"None";"None";"8970.0";"1.090475";"49.375051";"000BK"
"2017-543661";"2017-08-23";"1";"Vente";"253000.0";"11.0";"None";"RUE DE BRESSE";"0328";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BK0155";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"120.0";"5.0";"S";"sols";"None";"None";"724.0";"1.096274";"49.373577";"000BK"
