id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-361041";"2022-05-24";"1";"Vente";"120000.0";"84.0";"None";"CHE DU BON CLOS";"0300";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BL0042";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"33.0";"2.0";"S";"sols";"None";"None";"461.0";"1.100499";"49.372763";"000BL"
"2022-361041";"2022-05-24";"1";"Vente";"120000.0";"84.0";"None";"CHE DU BON CLOS";"0300";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BL0042";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"51.0";"3.0";"S";"sols";"None";"None";"461.0";"1.100499";"49.372763";"000BL"
"2021-1183827";"2021-10-19";"1";"Vente";"2.4";"60.0";"None";"RUE DU NOYER DES BOUTTIERES";"1785";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BL0318";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"3959.0";"0.0";"S";"sols";"None";"None";"10697.0";"1.092302";"49.371273";"000BL"
"2021-1184272";"2021-10-18";"1";"Vente";"90000.0";"90.0";"None";"CHE DU BON CLOS";"0300";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BL0044";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"38.0";"3.0";"S";"sols";"None";"None";"551.0";"1.100686";"49.372483";"000BL"
"2021-1184272";"2021-10-18";"1";"Vente";"90000.0";"90.0";"None";"CHE DU BON CLOS";"0300";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BL0044";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"551.0";"1.100686";"49.372483";"000BL"
"2021-1183161";"2021-09-02";"1";"Vente";"64000.0";"14.0";"None";"RUE DE L ARGONNE";"0175";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BL0257";"None";"None";"91";"60.64";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"45.0";"2.0";"None";"None";"None";"None";"nan";"1.097432";"49.372546";"000BL"
"2021-1183069";"2021-08-24";"1";"Vente";"180229.0";"130.0";"None";"RUE DES CEVENNES";"0428";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BL0511";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"79.0";"4.0";"S";"sols";"None";"None";"200.0";"1.095684";"49.371293";"000BL"
"2021-1181665";"2021-07-07";"1";"Vente";"178400.0";"5.0";"None";"RUE DE ROUERGUE";"2255";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BL0450";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"83.0";"4.0";"S";"sols";"None";"None";"220.0";"1.09715";"49.371213";"000BL"
"2021-1181564";"2021-06-24";"1";"Vente";"182300.0";"130.0";"None";"RUE DES CEVENNES";"0428";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BL0507";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"79.0";"4.0";"S";"sols";"None";"None";"268.0";"1.095991";"49.371485";"000BL"
"2021-1181564";"2021-06-24";"1";"Vente";"182300.0";"130.0";"None";"RUE DES CEVENNES";"0428";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BL0518";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"AB";"Terrain à bâtir";"None";"None";"35.0";"1.095677";"49.371224";"000BL"
