id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-1182382";"2021-08-16";"1";"Vente";"200800.0";"3.0";"None";"CHE DU CLOS DE LA NOE";"0518";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BM0375";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"85.0";"4.0";"S";"sols";"None";"None";"388.0";"1.09973";"49.365052";"000BM"
"2021-1180341";"2021-05-12";"1";"Vente";"111000.0";"3.0";"None";"RUE DE LA VENTE OLIVIER";"2367";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BM0042";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"95.0";"5.0";"S";"sols";"None";"None";"270.0";"1.096922";"49.369293";"000BM"
"2021-1180341";"2021-05-12";"1";"Vente";"111000.0";"3.0";"None";"RUE DE LA VENTE OLIVIER";"2367";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BM0042";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"270.0";"1.096922";"49.369293";"000BM"
"2021-1178241";"2021-02-04";"1";"Vente";"195500.0";"6.0";"None";"CHE DU CLOS DE LA NOE";"0518";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BM0370";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"99.0";"5.0";"S";"sols";"None";"None";"405.0";"1.099648";"49.365324";"000BM"
"2020-1065254";"2020-10-26";"1";"Vente";"174000.0";"2.0";"None";"RUE DE LA CHAMPAGNE";"0427";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BM0118";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"92.0";"5.0";"S";"sols";"None";"None";"473.0";"1.099709";"49.36835";"000BM"
"2020-1062293";"2020-06-02";"1";"Vente";"127500.0";"17.0";"None";"RUE DE CATALOGNE";"0412";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BM0074";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"111.0";"6.0";"S";"sols";"None";"None";"473.0";"1.098982";"49.369195";"000BM"
"2020-1062293";"2020-06-02";"1";"Vente";"127500.0";"nan";"None";"RUE DE LA CHAMPAGNE";"0427";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BM0249";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AG";"terrains d'agrément";"IMM";"Dépendances d'ensemble immobilier";"117.0";"1.098892";"49.369029";"000BM"
"2020-1062293";"2020-06-02";"1";"Vente";"127500.0";"nan";"None";"RUE DE LA CHAMPAGNE";"0427";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BM0271";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AG";"terrains d'agrément";"IMM";"Dépendances d'ensemble immobilier";"11.0";"1.0988";"49.369086";"000BM"
"2020-1061054";"2020-03-13";"1";"Vente";"180150.0";"nan";"None";"LA VENTE OLIVIER";"B024";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BM0406";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"122.0";"1.090796";"49.366872";"000BM"
"2020-1061054";"2020-03-13";"1";"Vente";"180150.0";"nan";"None";"RUE DE LA VENTE OLIVIER";"2367";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BM0404";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"4429.0";"1.090399";"49.366979";"000BM"
