id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2020-1066599";"2020-12-11";"1";"Echange";"496.0";"nan";"None";"LA MARE A DAIM";"B014";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BN0474";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"10.0";"1.075358";"49.37898";"000BN"
"2020-1066599";"2020-12-11";"1";"Echange";"496.0";"nan";"None";"LA MARE A DAIM";"B014";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BN0476";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"481.0";"1.073794";"49.378862";"000BN"
"2020-1066599";"2020-12-11";"1";"Echange";"496.0";"nan";"None";"LA MARE A DAIM";"B014";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BN0478";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"5.0";"1.075321";"49.37897";"000BN"
"2020-1066600";"2020-12-11";"2";"Echange";"349.0";"nan";"None";"LA MARE A DAIM";"B014";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BN0463";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AG";"terrains d'agrément";"None";"None";"32.0";"1.076292";"49.378731";"000BN"
"2020-1066600";"2020-12-11";"2";"Echange";"349.0";"nan";"None";"LA MARE A DAIM";"B014";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BN0480";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AG";"terrains d'agrément";"None";"None";"317.0";"1.074644";"49.378866";"000BN"
"2020-1060721";"2020-02-25";"1";"Vente";"200000.0";"125.0";"None";"AV EDMUND HALLEY";"0695";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BN0445";"None";"None";"24";"nan";"25";"nan";"26";"None";"42";"None";"43";"None";"8";"4";"Local industriel. commercial ou assimilé";"156.0";"0.0";"None";"None";"None";"None";"nan";"1.0742";"49.381127";"000BN"
"2019-1116721";"2019-10-03";"1";"Vente";"nan";"nan";"None";"LA MARE A DAIM";"B014";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BN0307";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"2.0";"1.077013";"49.381229";"000BN"
"2019-1116721";"2019-10-03";"1";"Vente";"nan";"nan";"None";"LA MARE A DAIM";"B014";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BN0309";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"32.0";"1.076959";"49.381257";"000BN"
"2019-1116721";"2019-10-03";"1";"Vente";"nan";"nan";"None";"LA MARE SANSOURE";"B015";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BN0312";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"4013.0";"1.07705";"49.38231";"000BN"
"2019-1116721";"2019-10-03";"1";"Vente";"nan";"nan";"None";"LA MARE SANSOURE";"B015";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BN0314";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"4056.0";"1.076158";"49.381777";"000BN"
"2019-1116721";"2019-10-03";"1";"Vente";"nan";"nan";"None";"LA MARE A DAIM";"B014";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BN0321";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"6803.0";"1.079159";"49.383815";"000BN"
"2019-1116721";"2019-10-03";"1";"Vente";"nan";"nan";"None";"LA MARE A DAIM";"B014";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BN0322";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"470.0";"1.079937";"49.384172";"000BN"
"2019-1116721";"2019-10-03";"1";"Vente";"nan";"nan";"None";"LA MARE A DAIM";"B014";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BN0323";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"602.0";"1.077828";"49.382495";"000BN"
