id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-360390";"2022-04-28";"1";"Vente";"324300.0";"75.0";"None";"RUE CHRISTIAAN HUYGENS";"1204";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BO0157";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"5397.0";"1.081707";"49.386314";"000BO"
"2021-1184227";"2021-10-12";"2";"Vente";"343200.0";"5000.0";"F";"LE BOIS FOURNEAU SUD";"B002";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BO0151";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"nan";"0.0";"AB";"Terrain à bâtir";"None";"None";"5675.0";"1.080511";"49.385234";"000BO"
"2020-1064345";"2020-09-01";"1";"Vente";"181950.0";"22.0";"None";"RUE KATHLEEN FERRIER";"1404";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BO0098";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"78.0";"4.0";"S";"sols";"None";"None";"400.0";"1.085669";"49.387433";"000BO"
"2020-1061253";"2020-03-09";"1";"Vente en l'état futur d'achèvement";"684000.0";"nan";"None";"LE BOIS FOURNEAU SUD";"B002";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BO0149";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"1453.0";"1.082068";"49.384622";"000BO"
"2019-1116721";"2019-10-03";"1";"Vente";"nan";"nan";"None";"LE BOIS FOURNEAU SUD";"B002";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BO0124";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"10.0";"1.080629";"49.384689";"000BO"
"2019-1116721";"2019-10-03";"1";"Vente";"nan";"nan";"None";"LE BOIS FOURNEAU SUD";"B002";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BO0121";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"1341.0";"1.082011";"49.38505";"000BO"
"2019-1116721";"2019-10-03";"1";"Vente";"nan";"nan";"None";"LE BOIS FOURNEAU SUD";"B002";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BO0054";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"191.0";"1.083967";"49.386771";"000BO"
"2019-1116721";"2019-10-03";"1";"Vente";"nan";"nan";"None";"LE BOIS FOURNEAU SUD";"B002";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BO0075";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"7318.0";"1.081934";"49.385876";"000BO"
"2019-1114809";"2019-06-19";"1";"Vente";"1.2";"nan";"None";"LE BOIS FOURNEAU SUD";"B002";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BO0046";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"L";"landes";"None";"None";"170.0";"1.078667";"49.385305";"000BO"
"2019-1112226";"2019-02-25";"1";"Vente";"13720000.0";"115.0";"None";"RUE ISAAC NEWTON";"1222";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BO0064";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"16673.0";"0.0";"S";"sols";"None";"None";"65177.0";"1.084777";"49.385917";"000BO"
"2018-1035263";"2018-10-12";"1";"Vente";"170000.0";"1.0";"None";"RUE KATHLEEN FERRIER";"1404";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BO0085";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"89.0";"5.0";"S";"sols";"None";"None";"409.0";"1.086795";"49.387186";"000BO"
"2018-1031047";"2018-02-13";"1";"Vente";"173500.0";"2.0";"None";"RUE KATHLEEN FERRIER";"1404";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BO0108";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"74.0";"4.0";"S";"sols";"None";"None";"399.0";"1.086643";"49.387351";"000BO"
"2017-543853";"2017-08-29";"2";"Vente";"1700000.0";"9110.0";"None";"RUE DES CATELIERS";"0420";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BO0029";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"4500.0";"0.0";"L";"landes";"None";"None";"5621.0";"1.080447";"49.387899";"000BO"
"2017-543853";"2017-08-29";"2";"Vente";"1700000.0";"nan";"None";"LE BOIS FOURNEAU SUD";"B002";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BO0144";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"1379.0";"1.080898";"49.387889";"000BO"
"2017-543853";"2017-08-29";"2";"Vente";"1700000.0";"nan";"None";"LE BOIS FOURNEAU SUD";"B002";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BO0146";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"L";"landes";"None";"None";"1900.0";"1.081088";"49.387786";"000BO"
"2017-543684";"2017-08-03";"1";"Vente";"10500000.0";"115.0";"None";"RUE ISAAC NEWTON";"1222";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BO0064";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"16673.0";"0.0";"S";"sols";"None";"None";"65177.0";"1.084777";"49.385917";"000BO"
