id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-1183889";"2021-10-25";"1";"Vente";"196000.0";"19.0";"None";"RUE MADELEINE LE QUELLEC";"1571";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BP0265";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"81.0";"4.0";"S";"sols";"None";"None";"373.0";"1.087564";"49.389045";"000BP"
"2021-1182844";"2021-09-15";"1";"Vente";"98000.0";"137.0";"None";"RUE DU CHAMP DES BRUYERES";"0429";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BP0287";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"774.0";"1.08316";"49.389234";"000BP"
"2021-1182202";"2021-08-05";"1";"Vente";"216000.0";"2.0";"None";"RUE PABLO NERUDA";"1808";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BP0116";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"121.0";"5.0";"S";"sols";"None";"None";"339.0";"1.088798";"49.389139";"000BP"
"2021-1181487";"2021-07-13";"1";"Vente";"250000.0";"11.0";"None";"RUE JULIENNE ET YVON BONNARD";"0305";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BP0182";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"117.0";"5.0";"S";"sols";"None";"None";"655.0";"1.083843";"49.388268";"000BP"
"2021-1181264";"2021-06-29";"1";"Vente";"nan";"nan";"None";"LE BOIS FOURNEAU";"B001";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BP0195";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"5898.0";"1.084492";"49.388239";"000BP"
"2021-1181183";"2021-06-28";"1";"Vente";"112500.0";"1.0";"None";"RUE GENEVIEVE DE GAULLE";"0995";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BP0193";"None";"None";"208";"56.18";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"55.0";"3.0";"None";"None";"None";"None";"nan";"1.086425";"49.38867";"000BP"
"2021-1181183";"2021-06-28";"1";"Vente";"112500.0";"1.0";"None";"RUE GENEVIEVE DE GAULLE";"0995";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BP0193";"None";"None";"424";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"1.086425";"49.38867";"000BP"
"2021-1180368";"2021-05-25";"1";"Vente";"225000.0";"6.0";"None";"RUE MADELEINE LE QUELLEC";"1571";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BP0253";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"81.0";"4.0";"S";"sols";"None";"None";"250.0";"1.088063";"49.388766";"000BP"
"2021-1179206";"2021-03-26";"1";"Vente";"232800.0";"11.0";"None";"RUE GENEVIEVE DE GAULLE";"0995";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BP0176";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"106.0";"4.0";"S";"sols";"None";"None";"712.0";"1.084811";"49.389084";"000BP"
"2021-1179543";"2021-03-23";"1";"Vente";"17480.0";"nan";"None";"LE BOIS FOURNEAU";"B001";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BP0242";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"321.0";"1.088503";"49.388464";"000BP"
"2021-1179543";"2021-03-23";"1";"Vente";"17480.0";"nan";"None";"LE BOIS FOURNEAU";"B001";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BP0274";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"1427.0";"1.088044";"49.388855";"000BP"
"2021-1179276";"2021-03-19";"1";"Vente";"800000.0";"9613.0";"None";"RUE DU CHAMP DES BRUYERES";"0429";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BP0056";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"nan";"0.0";"S";"sols";"None";"None";"21.0";"1.083677";"49.390537";"000BP"
"2021-1179276";"2021-03-19";"1";"Vente";"800000.0";"2.0";"None";"RUE DU CHAMP DES BRUYERES";"0429";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BP0059";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"3980.0";"0.0";"S";"sols";"None";"None";"5990.0";"1.083573";"49.391295";"000BP"
"2021-1179276";"2021-03-19";"1";"Vente";"800000.0";"nan";"None";"LE BOIS FOURNEAU";"B001";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BP0061";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"10.0";"1.083935";"49.390796";"000BP"
"2021-1179276";"2021-03-19";"1";"Vente";"800000.0";"nan";"None";"LE BOIS FOURNEAU";"B001";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BP0126";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"3433.0";"1.083234";"49.390903";"000BP"
"2021-1178090";"2021-01-29";"1";"Vente";"190000.0";"1.0";"B";"RUE PABLO NERUDA";"1808";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BP0244";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"80.0";"4.0";"S";"sols";"None";"None";"201.0";"1.088505";"49.388647";"000BP"
"2021-1178199";"2021-01-04";"1";"Vente";"219000.0";"1.0";"None";"RUE MADELEINE LE QUELLEC";"1571";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BP0256";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"80.0";"4.0";"S";"sols";"None";"None";"852.0";"1.087597";"49.388277";"000BP"
"2020-1066595";"2020-12-29";"1";"Vente";"125000.0";"1.0";"None";"RUE GENEVIEVE DE GAULLE";"0995";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BP0193";"None";"None";"312";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"55.0";"3.0";"None";"None";"None";"None";"nan";"1.086425";"49.38867";"000BP"
"2020-1066595";"2020-12-29";"1";"Vente";"125000.0";"1.0";"None";"RUE GENEVIEVE DE GAULLE";"0995";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BP0193";"None";"None";"463";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"1.086425";"49.38867";"000BP"
"2020-1066409";"2020-12-18";"1";"Vente en l'état futur d'achèvement";"176900.0";"6.0";"None";"RUE LUCIE AUBRAC";"0215";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BP0348";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"82.0";"4.0";"S";"sols";"None";"None";"169.0";"1.083987";"49.391716";"000BP"
"2020-1066409";"2020-12-18";"1";"Vente en l'état futur d'achèvement";"176900.0";"nan";"None";"LE BOIS FOURNEAU";"B001";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BP0351";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"487.0";"1.083982";"49.391639";"000BP"
"2020-1064875";"2020-10-14";"1";"Vente en l'état futur d'achèvement";"178900.0";"96.0";"None";"AV ANTOINE DE ST EXUPERY";"0150";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BP0333";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"82.0";"4.0";"S";"sols";"None";"None";"186.0";"1.084321";"49.39179";"000BP"
"2020-1063491";"2020-07-25";"1";"Vente";"83050.0";"2.0";"None";"RUE GENEVIEVE DE GAULLE";"0995";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BP0196";"None";"None";"215";"41.68";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"41.0";"2.0";"None";"None";"None";"None";"nan";"1.08637";"49.389214";"000BP"
"2020-1063491";"2020-07-25";"1";"Vente";"83050.0";"2.0";"None";"RUE GENEVIEVE DE GAULLE";"0995";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BP0196";"None";"None";"331";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"1.08637";"49.389214";"000BP"
