id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-361548";"2022-06-23";"1";"Vente";"145000.0";"50.0";"None";"RUE DU MADRILLET";"1580";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BR0204";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"55.0";"3.0";"S";"sols";"None";"None";"245.0";"1.072728";"49.392289";"000BR"
"2022-361548";"2022-06-23";"1";"Vente";"145000.0";"50.0";"None";"RUE DU MADRILLET";"1580";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BR0204";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"245.0";"1.072728";"49.392289";"000BR"
"2022-361548";"2022-06-23";"1";"Vente";"145000.0";"50.0";"None";"RUE DU MADRILLET";"1580";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BR0204";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"245.0";"1.072728";"49.392289";"000BR"
"2022-359624";"2022-03-24";"1";"Vente";"470000.0";"9015.0";"None";"RUE DE LA CHENAIE";"0460";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BR0012";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"1250.0";"0.0";"S";"sols";"None";"None";"3375.0";"1.078085";"49.388497";"000BR"
"2020-1066017";"2020-11-30";"1";"Vente";"298000.0";"38.0";"None";"RUE JEAN HENRI FABRE";"1285";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BR0145";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"193.0";"5.0";"AG";"terrains d'agrément";"None";"None";"589.0";"1.069504";"49.389109";"000BR"
"2020-1066017";"2020-11-30";"1";"Vente";"298000.0";"38.0";"None";"RUE JEAN HENRI FABRE";"1285";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BR0145";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"193.0";"5.0";"S";"sols";"None";"None";"500.0";"1.069504";"49.389109";"000BR"
"2019-1116404";"2019-09-20";"2";"Vente";"45000.0";"50.0";"None";"RUE DU MADRILLET";"1580";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BR0205";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"341.0";"1.072598";"49.392258";"000BR"
"2019-1111745";"2019-01-05";"1";"Vente";"105000.0";"8000.0";"None";"RUE DES CATELIERS";"0420";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BR0201";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"110.0";"5.0";"S";"sols";"None";"None";"272.0";"1.072006";"49.390129";"000BR"
"2019-1111745";"2019-01-05";"1";"Vente";"105000.0";"nan";"None";"AV MARYSE BASTIE";"1640";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BR0202";"None";"1";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"1.07205";"49.390175";"000BR"
"2018-1035135";"2018-09-14";"1";"Vente";"115000.0";"1.0";"None";"AV DE LA MARE AUX DAIMS";"1602";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BR0200";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"100.0";"5.0";"S";"sols";"None";"None";"300.0";"1.072054";"49.390213";"000BR"
"2018-1035135";"2018-09-14";"1";"Vente";"115000.0";"nan";"None";"RUE DE LA FERME";"0850";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BR0199";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"3.0";"1.072286";"49.390208";"000BR"
"2018-1035135";"2018-09-14";"1";"Vente";"115000.0";"nan";"None";"AV MARYSE BASTIE";"1640";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BR0202";"None";"2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"1.07205";"49.390175";"000BR"
