id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-359835";"2022-03-18";"1";"Vente";"115000.0";"9001.0";"None";"IMMEUBLE ATLANTIDE";"A651";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BS0402";"None";"None";"23";"103.35";"None";"None";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"110.0";"6.0";"None";"None";"None";"None";"nan";"1.071577";"49.393501";"000BS"
"2022-359835";"2022-03-18";"1";"Vente";"115000.0";"9001.0";"None";"IMMEUBLE ATLANTIDE";"A651";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BS0402";"None";"None";"181";"nan";"None";"None";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"1.071577";"49.393501";"000BS"
"2022-359041";"2022-01-18";"1";"Vente";"181300.0";"4.0";"None";"ALL DU CLOS MAJORELLE";"0517";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BS0616";"None";"None";"None";"nan";"None";"None";"None";"nan";"None";"None";"None";"None";"0";"1";"Maison";"83.0";"4.0";"S";"sols";"None";"None";"97.0";"1.06889";"49.391763";"000BS"
"2022-359041";"2022-01-18";"1";"Vente";"181300.0";"4.0";"None";"ALL DU CLOS MAJORELLE";"0517";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BS0630";"None";"None";"None";"nan";"None";"None";"None";"nan";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"12.0";"1.068805";"49.391922";"000BS"
"2022-359041";"2022-01-18";"1";"Vente";"181300.0";"1.0";"None";"ALL DU CLOS MAJORELLE";"0517";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BS0642";"None";"None";"None";"nan";"None";"None";"None";"nan";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"13.0";"1.068709";"49.392102";"000BS"
"2022-359041";"2022-01-18";"1";"Vente";"181300.0";"1.0";"None";"ALL DU CLOS MAJORELLE";"0517";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BS0628";"None";"4";"None";"nan";"None";"None";"None";"nan";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"1.068508";"49.391816";"000BS"
"2021-1183132";"2021-09-23";"1";"Vente";"62300.0";"9001.0";"None";"IMMEUBLE ATLANTIDE";"A651";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BS0402";"None";"None";"95";"nan";"None";"None";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"83.0";"4.0";"None";"None";"None";"None";"nan";"1.071577";"49.393501";"000BS"
"2021-1183132";"2021-09-23";"1";"Vente";"62300.0";"9001.0";"None";"IMMEUBLE ATLANTIDE";"A651";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BS0402";"None";"None";"219";"nan";"None";"None";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"1.071577";"49.393501";"000BS"
"2021-1183216";"2021-09-13";"1";"Vente";"176000.0";"8.0";"None";"RUE HECTOR BERLIOZ";"1110";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BS0076";"None";"None";"None";"nan";"None";"None";"None";"nan";"None";"None";"None";"None";"0";"1";"Maison";"95.0";"5.0";"S";"sols";"None";"None";"795.0";"1.060618";"49.394682";"000BS"
"2021-1183377";"2021-09-13";"1";"Vente";"410000.0";"10.0";"None";"RES DU ROUVRAY 1";"A751";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BS0270";"None";"None";"None";"nan";"None";"None";"None";"nan";"None";"None";"None";"None";"0";"1";"Maison";"108.0";"4.0";"S";"sols";"None";"None";"2073.0";"1.063144";"49.390904";"000BS"
