id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-359681";"2022-03-31";"1";"Vente";"46000.0";"9011.0";"None";"IMM F CHATEAU BLANC";"A870";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BT0254";"None";"None";"89";"60.32";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"63.0";"3.0";"None";"None";"None";"None";"nan";"1.069942";"49.395582";"000BT"
"2022-359681";"2022-03-31";"1";"Vente";"46000.0";"3011.0";"None";"IMM F CHATEAU BLANC";"A870";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BT0254";"None";"None";"200";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"1.069942";"49.395582";"000BT"
"2022-360185";"2022-03-24";"1";"Vente";"45000.0";"9011.0";"None";"IMM F CHATEAU BLANC";"A870";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BT0254";"None";"None";"196";"nan";"41";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"63.0";"3.0";"None";"None";"None";"None";"nan";"1.069942";"49.395582";"000BT"
"2022-360185";"2022-03-24";"1";"Vente";"45000.0";"9011.0";"None";"IMM F CHATEAU BLANC";"A870";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BT0254";"None";"None";"196";"nan";"41";"nan";"None";"None";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"1.069942";"49.395582";"000BT"
"2021-1184498";"2021-11-12";"1";"Vente";"46400.0";"9009.0";"None";"IMM G3 CHATEAU BLANC";"A903";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BT0117";"None";"None";"10";"43.16";"15";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"46.0";"2.0";"None";"None";"None";"None";"nan";"1.071471";"49.395731";"000BT"
"2021-1184498";"2021-11-12";"1";"Vente";"46400.0";"9009.0";"None";"IMM G3 CHATEAU BLANC";"A903";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BT0117";"None";"None";"10";"43.16";"15";"nan";"None";"None";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"1.071471";"49.395731";"000BT"
"2021-1183530";"2021-10-11";"1";"Vente";"33000.0";"9011.0";"None";"IMM F CHATEAU BLANC";"A870";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BT0254";"None";"None";"231";"nan";"72";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"80.0";"4.0";"None";"None";"None";"None";"nan";"1.069942";"49.395582";"000BT"
"2021-1183530";"2021-10-11";"1";"Vente";"33000.0";"9011.0";"None";"IMM F CHATEAU BLANC";"A870";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BT0254";"None";"None";"231";"nan";"72";"nan";"None";"None";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"1.069942";"49.395582";"000BT"
"2021-1183838";"2021-09-24";"1";"Vente";"104000.0";"9002.0";"None";"RES MIRABEAU TOUR 2";"A582";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BT0201";"None";"None";"159";"89.63";"211";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"93.0";"5.0";"None";"None";"None";"None";"nan";"1.07158";"49.396718";"000BT"
"2021-1183838";"2021-09-24";"1";"Vente";"104000.0";"9002.0";"None";"RES MIRABEAU TOUR 2";"A582";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BT0201";"None";"None";"159";"89.63";"211";"nan";"None";"None";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"1.07158";"49.396718";"000BT"
