id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-361633";"2022-06-09";"1";"Vente";"3060533.2";"12.0";"None";"RUE ERNEST RENAN";"0780";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BV0241";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"80.0";"3.0";"S";"sols";"None";"None";"18847.0";"1.068776";"49.399079";"000BV"
"2022-361633";"2022-06-09";"1";"Vente";"3060533.2";"12.0";"None";"RUE ERNEST RENAN";"0780";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BV0241";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"15660.0";"0.0";"S";"sols";"None";"None";"18847.0";"1.068776";"49.399079";"000BV"
"2022-361201";"2022-06-08";"1";"Vente";"110000.0";"39.0";"None";"RUE DELILLE";"0582";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BV0010";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"76.0";"4.0";"S";"sols";"None";"None";"389.0";"1.070029";"49.402091";"000BV"
"2022-361214";"2022-06-08";"1";"Vente";"261000.0";"70.0";"None";"RUE LAMARTINE";"1420";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BV0060";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"76.0";"3.0";"S";"sols";"None";"None";"399.0";"1.066708";"49.402814";"000BV"
"2022-361201";"2022-06-08";"1";"Vente";"110000.0";"39.0";"None";"RUE DELILLE";"0582";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BV0010";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"389.0";"1.070029";"49.402091";"000BV"
"2022-361214";"2022-06-08";"1";"Vente";"261000.0";"70.0";"None";"RUE LAMARTINE";"1420";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BV0060";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"399.0";"1.066708";"49.402814";"000BV"
"2022-361214";"2022-06-08";"1";"Vente";"261000.0";"70.0";"None";"RUE LAMARTINE";"1420";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BV0060";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"399.0";"1.066708";"49.402814";"000BV"
"2021-1184143";"2021-10-29";"1";"Vente";"61000.0";"2.0";"None";"RUE VICTOR DURUY";"2390";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BV0582";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"45.0";"2.0";"S";"sols";"None";"None";"341.0";"1.07349";"49.400131";"000BV"
"2021-1184143";"2021-10-29";"1";"Vente";"61000.0";"2.0";"None";"RUE VICTOR DURUY";"2390";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BV0582";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"341.0";"1.07349";"49.400131";"000BV"
"2021-1183642";"2021-10-15";"1";"Vente";"231000.0";"38.0";"None";"RUE LAMARTINE";"1420";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BV0048";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"74.0";"5.0";"S";"sols";"None";"None";"680.0";"1.069958";"49.401932";"000BV"
"2021-1183296";"2021-09-29";"1";"Vente";"246000.0";"4.0";"None";"RUE PAUL BERT";"1870";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BV0160";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"108.0";"5.0";"S";"sols";"None";"None";"384.0";"1.073784";"49.399303";"000BV"
"2021-1183296";"2021-09-29";"1";"Vente";"246000.0";"4.0";"None";"RUE PAUL BERT";"1870";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BV0160";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"384.0";"1.073784";"49.399303";"000BV"
"2021-1182660";"2021-08-27";"1";"Vente";"150000.0";"10.0";"None";"RUE LAMARTINE";"1420";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BV0036";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"78.0";"5.0";"S";"sols";"None";"None";"462.0";"1.073191";"49.400945";"000BV"
"2021-1182389";"2021-08-20";"1";"Vente";"128000.0";"38.0";"None";"RUE VICTOR DURUY";"2390";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BV0136";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"56.0";"3.0";"S";"sols";"None";"None";"204.0";"1.068415";"49.401606";"000BV"
"2021-1182476";"2021-08-17";"1";"Vente";"255000.0";"11.0";"None";"RUE PAUL BERT";"1870";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BV0229";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"113.0";"5.0";"S";"sols";"None";"None";"476.0";"1.072653";"49.399088";"000BV"
"2021-1182343";"2021-07-28";"2";"Vente en l'état futur d'achèvement";"215000.0";"19.0";"None";"RUE VICTOR DURUY";"2390";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BV0627";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"229.0";"nan";"nan";"000BV"
"2021-1182421";"2021-07-28";"1";"Vente en l'état futur d'achèvement";"244000.0";"nan";"None";"None";"None";"None";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BV0628";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"nan";"nan";"000BV"
"2021-1182396";"2021-07-27";"1";"Vente";"215000.0";"6.0";"None";"RUE LAMARTINE";"1420";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BV0035";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"93.0";"4.0";"S";"sols";"None";"None";"521.0";"1.073356";"49.400872";"000BV"
"2021-1182396";"2021-07-27";"1";"Vente";"215000.0";"6.0";"None";"RUE LAMARTINE";"1420";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BV0035";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"521.0";"1.073356";"49.400872";"000BV"
