id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-1183671";"2021-10-05";"1";"Vente";"33700.0";"nan";"None";"LA MARE A DAIM";"B014";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BW0089";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"674.0";"1.076146";"49.384446";"000BW"
"2019-1116721";"2019-10-03";"1";"Vente";"nan";"nan";"None";"AV DE L UNIVERSITE";"2359";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BW0061";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"267.0";"1.078736";"49.384119";"000BW"
"2019-1116721";"2019-10-03";"1";"Vente";"nan";"nan";"None";"LA MARE A DAIM";"B014";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BW0041";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"352.0";"1.078512";"49.383793";"000BW"
"2019-1116721";"2019-10-03";"1";"Vente";"nan";"nan";"None";"LA MARE SANSOURE";"B015";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BW0058";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"2659.0";"1.060294";"49.386863";"000BW"
"2019-1116721";"2019-10-03";"1";"Vente";"nan";"nan";"None";"LA MARE SANSOURE";"B015";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BW0059";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"2636.0";"1.060814";"49.386603";"000BW"
"2019-1116721";"2019-10-03";"1";"Vente";"nan";"nan";"None";"AV DE L UNIVERSITE";"2359";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BW0069";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"4546.0";"1.07125";"49.384186";"000BW"
"2019-1116721";"2019-10-03";"1";"Vente";"nan";"nan";"None";"LA MARE A DAIM";"B014";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BW0077";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"441.0";"1.071108";"49.384619";"000BW"
"2019-1116721";"2019-10-03";"1";"Vente";"nan";"nan";"None";"AV DE L UNIVERSITE";"2359";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BW0081";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"1081.0";"1.069658";"49.384708";"000BW"
"2019-1116721";"2019-10-03";"1";"Vente";"nan";"nan";"None";"AV DE L UNIVERSITE";"2359";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BW0083";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"507.0";"1.07078";"49.38427";"000BW"
"2019-1116721";"2019-10-03";"1";"Vente";"nan";"nan";"None";"AV DE L UNIVERSITE";"2359";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BW0093";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"74.0";"1.076423";"49.384774";"000BW"
"2019-1114809";"2019-06-19";"1";"Vente";"1.2";"520.0";"None";"AV GALILEE";"0972";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BW0047";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"3544.0";"0.0";"S";"sols";"None";"None";"17330.0";"1.077618";"49.385026";"000BW"
"2019-1114809";"2019-06-19";"1";"Vente";"1.2";"nan";"None";"AV DE L UNIVERSITE";"2359";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BW0013";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"131.0";"1.077196";"49.385685";"000BW"
"2019-1112209";"2019-02-11";"1";"Vente";"56460.0";"620.0";"None";"RUE ISAAC NEWTON";"1222";"76800";"76575";"Saint-Étienne-du-Rouvray";"76";"None";"None";"76575000BW0053";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"919.0";"0.0";"S";"sols";"None";"None";"29103.0";"nan";"nan";"000BW"
